Category,Specification,Cseries_CX130C,Cseries_CX210C,Cseries_CX220C,Cseries_CX250C,Cseries_CX300C,Cseries_CX370C,Cseries_CX490C
,,,,,,,,
HYDRAULIC SYSTEM,Flow rate (l/min),2 x 129,,,,,,
HYDRAULIC SYSTEM,System pressure (bar),343,,,,,,
HYDRAULIC SYSTEM,Boost pressure (bar),363,,,,,,
PERFORMANCE,Swing speed (rpm),"14,1",,,,,,
PERFORMANCE,Swing Torque (kN),33,,,,,,
PERFORMANCE,Travel speed (km/h),0 - 3.4/ 0 - 5.6,,,,,,
PERFORMANCE,Drawbar pull (kN),117,,,,,,
PERFORMANCE,Gradeability (%),70,,,,,,
PERFORMANCE,Type,SHORT/ STD/ LONG,,,,,,
PERFORMANCE,Bucket Capacity (m³),"0,55/ 0,5/ 0,45",,,,,,
PERFORMANCE,Arm length (m),"2,1/ 2,5/ 3,0",,,,,,
PERFORMANCE,Max digging height (m),"8,55/ 8,77/ 9,05",,,,,,
PERFORMANCE,Max dump height (m),"6,17/ 6,39/ 6,68",,,,,,
PERFORMANCE,Max reach (m),"7,81/ 8,17/ 8,64",,,,,,
PERFORMANCE,Max digging depth (m),"5,15/ 5,54/ 6,06",,,,,,
PERFORMANCE,Arm digging force (kN),77/ 66/ 60,,,,,,
PERFORMANCE,Bucket digging force (kN),95,,,,,,
TRANSPORT DIMENSIONS,Weight (kg),12600,,,,,,
TRANSPORT DIMENSIONS,Length (m),"7,94",,,,,,
TRANSPORT DIMENSIONS,Width (m),"2,49",,,,,,
TRANSPORT DIMENSIONS,Height (m),"2,92",,,,,,
,,,,,,,,
HYDRAULIC SYSTEM,Flow rate (l/min),,2 x 211,,,,,
HYDRAULIC SYSTEM,System pressure (bar),,343,,,,,
HYDRAULIC SYSTEM,Boost pressure (bar),,368,,,,,
PERFORMANCE,Swing speed (rpm),,"11,5",,,,,
PERFORMANCE,Swing Torque (kN),,64,,,,,
PERFORMANCE,Travel speed (km/h),,0 - 3.4/ 0 - 5.6,,,,,
PERFORMANCE,Drawbar pull (kN),,188,,,,,
PERFORMANCE,Gradeability (%),,70,,,,,
PERFORMANCE,Type,,SHORT/ STD/ LONG,,,,,
PERFORMANCE,Bucket Capacity (m³),,"1,1/ 1,0/ 0,9",,,,,
PERFORMANCE,Arm length (m),,"1,9/ 2,4/ 2,9",,,,,
PERFORMANCE,Max digging height (m),,"9,16/ 9,41/ 9,61",,,,,
PERFORMANCE,Max dump height (m),,"6,33/ 6,59/ 6,81",,,,,
PERFORMANCE,Max reach (m),,"8,77/ 9,24/ 9,73",,,,,
PERFORMANCE,Max digging depth (m),,"5,61/ 6,11/ 6,65",,,,,
PERFORMANCE,Arm digging force (kN),,152/ 132/ 110,,,,,
PERFORMANCE,Bucket digging force (kN),,152,,,,,
TRANSPORT DIMENSIONS,Weight (kg),,20600,,,,,
TRANSPORT DIMENSIONS,Length (m),,"9,49",,,,,
TRANSPORT DIMENSIONS,Width (m),,"2,8",,,,,
TRANSPORT DIMENSIONS,Height (m),,"3,19",,,,,
,,,,,,,,
HYDRAULIC SYSTEM,Flow rate (l/min),,,2 x 211,,,,
HYDRAULIC SYSTEM,System pressure (bar),,,343,,,,
HYDRAULIC SYSTEM,Boost pressure (bar),,,368,,,,
PERFORMANCE,Swing speed (rpm),,,"11,5",,,,
PERFORMANCE,Swing Torque (kN),,,64,,,,
PERFORMANCE,Travel speed (km/h),,,0 - 3.4/ 0 - 5.6,,,,
PERFORMANCE,Drawbar pull (kN),,,188,,,,
PERFORMANCE,Gradeability (%),,,70,,,,
PERFORMANCE,Type,,,SHORT/ STD/ LONG,,,,
PERFORMANCE,Bucket Capacity (m³),,,"1,1/ 1,0/ 0,9",,,,
PERFORMANCE,Arm length (m),,,"1,9/ 2,4/ 2,9",,,,
PERFORMANCE,Max digging height (m),,,"9,16/ 9,41/ 9,61",,,,
PERFORMANCE,Max dump height (m),,,"6,33/ 6,59/ 6,81",,,,
PERFORMANCE,Max reach (m),,,"8,77/ 9,24/ 9,73",,,,
PERFORMANCE,Max digging depth (m),,,"5,61/ 6,11/ 6,65",,,,
PERFORMANCE,Arm digging force (kN),,,152/ 132/ 110,,,,
PERFORMANCE,Bucket digging force (kN),,,152,,,,
TRANSPORT DIMENSIONS,Weight (kg),,,20900,,,,
TRANSPORT DIMENSIONS,Length (m),,,"9,49",,,,
TRANSPORT DIMENSIONS,Width (m),,,"2,8",,,,
TRANSPORT DIMENSIONS,Height (m),,,"3,19",,,,
,,,,,,,,
HYDRAULIC SYSTEM,Flow rate (l/min),,,,2 x 234,,,
HYDRAULIC SYSTEM,System pressure (bar),,,,343,,,
HYDRAULIC SYSTEM,Boost pressure (bar),,,,368,,,
PERFORMANCE,Swing speed (rpm),,,,11,,,
PERFORMANCE,Swing Torque (kN),,,,75,,,
PERFORMANCE,Travel speed (km/h),,,,0 - 3.5/ 0 - 5.5,,,
PERFORMANCE,Drawbar pull (kN),,,,201,,,
PERFORMANCE,Gradeability (%),,,,70,,,
PERFORMANCE,Type,,,,SHORT/ STD/ LONG,,,
PERFORMANCE,Bucket Capacity (m³),,,,"1,3/ 1,1/ 1,0",,,
PERFORMANCE,Arm length (m),,,,"2,5/ 3,0/ 3,5",,,
PERFORMANCE,Max digging height (m),,,,"9,82/ 10,28/ 10,79",,,
PERFORMANCE,Max dump height (m),,,,"6,55/ 6,76/ 7,06",,,
PERFORMANCE,Max reach (m),,,,"9,63/ 10,10/ 10,62",,,
PERFORMANCE,Max digging depth (m),,,,"6,40/ 6,90/ 7,42",,,
PERFORMANCE,Arm digging force (kN),,,,151/ 129/ 115,,,
PERFORMANCE,Bucket digging force (kN),,,,174,,,
TRANSPORT DIMENSIONS,Weight (kg),,,,24800,,,
TRANSPORT DIMENSIONS,Length (m),,,,"9,98",,,
TRANSPORT DIMENSIONS,Width (m),,,,"3,19",,,
TRANSPORT DIMENSIONS,Height (m),,,,"3,31",,,
,,,,,,,,
HYDRAULIC SYSTEM,Flow rate (l/min),,,,,2 x 270,,
HYDRAULIC SYSTEM,System pressure (bar),,,,,343,,
HYDRAULIC SYSTEM,Boost pressure (bar),,,,,368,,
PERFORMANCE,Swing speed (rpm),,,,,11,,
PERFORMANCE,Swing Torque (kN),,,,,92,,
PERFORMANCE,Travel speed (km/h),,,,,0 - 3.3/ 0 - 5.7,,
PERFORMANCE,Drawbar pull (kN),,,,,233,,
PERFORMANCE,Gradeability (%),,,,,70,,
PERFORMANCE,Type,,,,,SHORT/ STD/ LONG,,
