Category,Specification,621F,621XS,721F,821F,921F,1021F,1121F
,,,,,,,,
Transmission,Type,Powershift,,,,,,
Transmission,No. of speeds,F4 - R3,,,,,,
Axles,Type,Limited slip 100% lock HD (opt),,,,,,
Hydraulics,System type,Closed Centre,,,,,,
Hydraulics,Pump type,2 x piston pump,,,,,,
Hydraulics,Flow rate,171,,,,,,
Bucket,GET,Teeth / Edge,,,,,,
Bucket,GP/Flat bottom* (m³),"2,2 / 2,3",,,,,,
Bucket,Material density Max (kg/m³),1850,,,,,,
Machine weight,Typical weight (kg),12218,,,,,,
Machine weight,Tipping load (kg),9962,,,,,,
Machine weight,Tipping load at 40° (kg),8735,,,,,,
Loader performance,Payload capacity (kg),4367,,,,,,
Loader performance,Bucket breakout force (kN),99,,,,,,
Loader performance,Maximum lift height,"5,04",,,,,,
Loader performance,Hinge pin height (m),"3,83",,,,,,
Loader performance,Dump height (m),"2,68",,,,,,
Loader performance,Bucket reach (m),"1,16",,,,,,
Transport dimensions,Length (m),"7,57",,,,,,
Transport dimensions,Width (m),"2,52",,,,,,
Transport dimensions,Height (m),"3,39",,,,,,
,,,,,,,,
Transmission,Type,,Powershift,,,,,
Transmission,No. of speeds,,F4 - R3,,,,,
Axles,Type,,Limited slip,,,,,
Hydraulics,System type,,Open Centre,,,,,
Hydraulics,Pump type,,2 x Gear pump,,,,,
Hydraulics,Flow rate,,140,,,,,
Bucket,GET,,Teeth / Edge,,,,,
Bucket,GP/Flat bottom* (m³),,"1,9 / 2,3",,,,,
Bucket,Material density Max (kg/m³),,1601,,,,,
Machine weight,Typical weight (kg),,10708,,,,,
Machine weight,Tipping load (kg),,8713,,,,,
Machine weight,Tipping load at 40° (kg),,7365,,,,,
Loader performance,Payload capacity (kg),,3947,,,,,
Loader performance,Bucket breakout force (kN),,68,,,,,
Loader performance,Maximum lift height,,"4,74",,,,,
Loader performance,Hinge pin height (m),,"3,52",,,,,
Loader performance,Dump height (m),,"2,63",,,,,
Loader performance,Bucket reach (m),,"1,05",,,,,
Transport dimensions,Length (m),,"6,96",,,,,
Transport dimensions,Width (m),,"1,97",,,,,
Transport dimensions,Height (m),,"3,18",,,,,
,,,,,,,,
Transmission,Type,,,Powershift,,,,
Transmission,No. of speeds,,,F4 - R3,,,,
Axles,Type,,,Limited slip 100% lock HD (opt),,,,
Hydraulics,System type,,,Closed Centre,,,,
Hydraulics,Pump type,,,2 x piston pump,,,,
Hydraulics,Flow rate,,,206,,,,
Bucket,GET,,,Teeth / Edge,,,,
Bucket,GP/Flat bottom* (m³),,,"2,6 / 2,7",,,,
Bucket,Material density Max (kg/m³),,,1986,,,,
Machine weight,Typical weight (kg),,,14532,,,,
