id,model_name,product_family,product_category,Maximum Paving Width,Operating weight with SE47 FM,Paving Range with SE60 V XW,Standard Paving Range,Paving Range with SE47 FM,Standard Weight,Heating System,Paving Range with SE60 V,Maximum Throughput Capacity,Operating weight with SE60 FM,Operating weight with SE60 V,Paving Range with SE60 FM,Maximum Width
1,AP455,Asphalt Pavers,Track Asphalt Pavers,,31533 lb,,,"2.4 m - 5.9 m (8' - 19' 6"")",,,,853 ton(US)/h,,,,
2,AP555,Asphalt Pavers,Track Asphalt Pavers,,33689 lb,,,2.4 m - 6.1 m (8' - 20'),,,,1100 ton(US)/h,,,,
3,AP655,Asphalt Pavers,Track Asphalt Pavers,,40560 lb,,,"2.44 - 6.25 m (8' - 20' 6"")",,,,1433 ton(US)/h,,,,
4,AP1055,Asphalt Pavers,Track Asphalt Pavers,,,,,,,,"3 m - 7.65 m (9' 10"" - 25')",1602 ton(US)/h,,45087 lb,,
5,AP400,Asphalt Pavers,Wheel Asphalt Pavers,,30000 lb,,,"2.4 m - 5.9 m (8' - 19' 6"")",,,,853 ton(US)/h,,,,
6,AP500,Asphalt Pavers,Wheel Asphalt Pavers,,32012 lb,,,"2.4 m - 5.9 m (8' - 19' 6"")",,,,1100 ton(US)/h,,,,
7,AP600,Asphalt Pavers,Wheel Asphalt Pavers,,36716 lb,,,"2.44 m - 6.2 m (8' - 20' 6"")",,,,1433 ton(US)/h,,,,
8,AP1000,Asphalt Pavers,Wheel Asphalt Pavers,,,,,,,,,1766 ton(US)/h,42620 lb,,"3 m - 7.8 m (10' - 25' 6"")",
9,Cat&reg; SDX Screed Plate System,Asphalt Pavers,Screeds,,,"3 m to 6 m (9' 10"" - 19' 4"")",,,,Electric,,,,,,29.3 ft
10,SE47 FM (4B5) Vibratory Screed,Asphalt Pavers,Screeds,20.5 ft,,,"2.4 - 4.7 m (8' - 15' 6"")",,6073 lb,,,,,,,
11,SE47 FM (411) Vibratory Screed,Asphalt Pavers,Screeds,20.5 ft,,,"2.44 - 4.7 m (8' - 15' 6"")",,6200 lb,,,,,,,
12,SE47 V Vibratory Screed,Asphalt Pavers,Screeds,20 ft,,,"2.44 - 4.7 m (8' - 15' 6"")",,5850 lb,,,,,,,
13,SE60 FM Vibratory Screed,Asphalt Pavers,Screeds,25.5 ft,,,"3.05 - 594 m (10' - 19' 6"")",,7800 lb,,,,,,,
14,SE50 V Vibratory Screed,Asphalt Pavers,Screeds,21.3 ft,,,"2.55 - 5 m (8' 4"" - 16' 4"")",,7239 lb,,,,,,,
15,SE60 V Asphalt Screed,Asphalt Pavers,Screeds,24.5 ft,,,"3 - 6 m (9' 10"" - 19' 6""')",,7826 lb,,,,,,,
16,SE60 V XW Vibratory Screed,Asphalt Pavers,Screeds,33 ft,,,"3 to 6 m (9' 10""- 19' 6"")",,8973 lb,,,,,,,
17,SE60 VT XW Tamper Bar Screed,Asphalt Pavers,Screeds,33 ft,,,"3 m - 6 m (10' - 19' 6"")",,9898 lb,,,,,,,
18,AP455,Asphalt Pavers,Track Asphalt Pavers,,31533 lb,,,"2.4 m - 5.9 m (8' - 19' 6"")",,,,853 ton(US)/h,,,,
19,AP555,Asphalt Pavers,Track Asphalt Pavers,,33689 lb,,,2.4 m - 6.1 m (8' - 20'),,,,1100 ton(US)/h,,,,
20,AP655,Asphalt Pavers,Track Asphalt Pavers,,40560 lb,,,"2.44 - 6.25 m (8' - 20' 6"")",,,,1433 ton(US)/h,,,,
21,AP1055,Asphalt Pavers,Track Asphalt Pavers,,,,,,,,"3 m - 7.65 m (9' 10"" - 25')",1602 ton(US)/h,,45087 lb,,
22,AP400,Asphalt Pavers,Wheel Asphalt Pavers,,30000 lb,,,"2.4 m - 5.9 m (8' - 19' 6"")",,,,853 ton(US)/h,,,,
23,AP500,Asphalt Pavers,Wheel Asphalt Pavers,,32012 lb,,,"2.4 m - 5.9 m (8' - 19' 6"")",,,,1100 ton(US)/h,,,,
24,AP600,Asphalt Pavers,Wheel Asphalt Pavers,,36716 lb,,,"2.44 m - 6.2 m (8' - 20' 6"")",,,,1433 ton(US)/h,,,,
25,AP1000,Asphalt Pavers,Wheel Asphalt Pavers,,,,,,,,,1766 ton(US)/h,42620 lb,,"3 m - 7.8 m (10' - 25' 6"")",
26,Cat&reg; SDX Screed Plate System,Asphalt Pavers,Screeds,,,"3 m to 6 m (9' 10"" - 19' 4"")",,,,Electric,,,,,,29.3 ft
