id,model_name,product_family,product_category,Dig Depth - Standard,Operating Weight - Maximum,Operating Weight - Nominal,Engine Model,Power - Net,Net Power - SAE J1349:2011,Net Power - SAE J1349
1,415 IL,Backhoe Loaders,Center-Pivot Backhoe Loaders,,17637 lb,,Cat C3.6,,69 hp,
2,416,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,70 HP (52 kW) / 86 HP (64 kW)
3,420,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,92 HP (68 kW) / 103 HP (76 kW)
4,420 XE,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,92 HP (68 kW) / 103 HP (76 kW)
5,430,Backhoe Loaders,Center-Pivot Backhoe Loaders,15.1 ft,24251 lb,,,,107 hp,
6,440,Backhoe Loaders,Center-Pivot Backhoe Loaders,15.5 ft,29321 lb,,,,104 hp,
7,450,Backhoe Loaders,Center-Pivot Backhoe Loaders,17 ft,29321 lb,,,,131 hp,
8,428,Backhoe Loaders,Side Shift Backhoe Loaders,,24251 lb,18232 lb,,70 hp,,
9,432,Backhoe Loaders,Side Shift Backhoe Loaders,,24251 lb,18671 lb,,92 hp,,
10,434,Backhoe Loaders,Side Shift Backhoe Loaders,,25353 lb,20216 lb,,92 hp,,
11,415 IL,Backhoe Loaders,Center-Pivot Backhoe Loaders,,17637 lb,,Cat C3.6,,69 hp,
12,416,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,70 HP (52 kW) / 86 HP (64 kW)
13,420,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,92 HP (68 kW) / 103 HP (76 kW)
14,420 XE,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,92 HP (68 kW) / 103 HP (76 kW)
15,430,Backhoe Loaders,Center-Pivot Backhoe Loaders,15.1 ft,24251 lb,,,,107 hp,
16,440,Backhoe Loaders,Center-Pivot Backhoe Loaders,15.5 ft,29321 lb,,,,104 hp,
17,450,Backhoe Loaders,Center-Pivot Backhoe Loaders,17 ft,29321 lb,,,,131 hp,
18,428,Backhoe Loaders,Side Shift Backhoe Loaders,,24251 lb,18232 lb,,70 hp,,
19,432,Backhoe Loaders,Side Shift Backhoe Loaders,,24251 lb,18671 lb,,92 hp,,
20,434,Backhoe Loaders,Side Shift Backhoe Loaders,,25353 lb,20216 lb,,92 hp,,
21,415 IL,Backhoe Loaders,Center-Pivot Backhoe Loaders,,17637 lb,,Cat C3.6,,69 hp,
22,416,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,70 HP (52 kW) / 86 HP (64 kW)
23,420,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,92 HP (68 kW) / 103 HP (76 kW)
24,420 XE,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,92 HP (68 kW) / 103 HP (76 kW)
25,430,Backhoe Loaders,Center-Pivot Backhoe Loaders,15.1 ft,24251 lb,,,,107 hp,
26,440,Backhoe Loaders,Center-Pivot Backhoe Loaders,15.5 ft,29321 lb,,,,104 hp,
27,450,Backhoe Loaders,Center-Pivot Backhoe Loaders,17 ft,29321 lb,,,,131 hp,
28,428,Backhoe Loaders,Side Shift Backhoe Loaders,,24251 lb,18232 lb,,70 hp,,
29,432,Backhoe Loaders,Side Shift Backhoe Loaders,,24251 lb,18671 lb,,92 hp,,
30,434,Backhoe Loaders,Side Shift Backhoe Loaders,,25353 lb,20216 lb,,92 hp,,
31,415 IL,Backhoe Loaders,Center-Pivot Backhoe Loaders,,17637 lb,,Cat C3.6,,69 hp,
32,416,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,70 HP (52 kW) / 86 HP (64 kW)
33,420,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,92 HP (68 kW) / 103 HP (76 kW)
34,420 XE,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,92 HP (68 kW) / 103 HP (76 kW)
35,430,Backhoe Loaders,Center-Pivot Backhoe Loaders,15.1 ft,24251 lb,,,,107 hp,
36,440,Backhoe Loaders,Center-Pivot Backhoe Loaders,15.5 ft,29321 lb,,,,104 hp,
37,450,Backhoe Loaders,Center-Pivot Backhoe Loaders,17 ft,29321 lb,,,,131 hp,
38,428,Backhoe Loaders,Side Shift Backhoe Loaders,,24251 lb,18232 lb,,70 hp,,
39,432,Backhoe Loaders,Side Shift Backhoe Loaders,,24251 lb,18671 lb,,92 hp,,
40,434,Backhoe Loaders,Side Shift Backhoe Loaders,,25353 lb,20216 lb,,92 hp,,
41,415 IL,Backhoe Loaders,Center-Pivot Backhoe Loaders,,17637 lb,,Cat C3.6,,69 hp,
42,416,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,70 HP (52 kW) / 86 HP (64 kW)
43,420,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,92 HP (68 kW) / 103 HP (76 kW)
44,420 XE,Backhoe Loaders,Center-Pivot Backhoe Loaders,14 ft,24251 lb,,,,,92 HP (68 kW) / 103 HP (76 kW)
45,430,Backhoe Loaders,Center-Pivot Backhoe Loaders,15.1 ft,24251 lb,,,,107 hp,
46,440,Backhoe Loaders,Center-Pivot Backhoe Loaders,15.5 ft,29321 lb,,,,104 hp,
47,450,Backhoe Loaders,Center-Pivot Backhoe Loaders,17 ft,29321 lb,,,,131 hp,
48,428,Backhoe Loaders,Side Shift Backhoe Loaders,,24251 lb,18232 lb,,70 hp,,
49,432,Backhoe Loaders,Side Shift Backhoe Loaders,,24251 lb,18671 lb,,92 hp,,
50,434,Backhoe Loaders,Side Shift Backhoe Loaders,,25353 lb,20216 lb,,92 hp,,
