id,model_name,product_family,product_category,Operating Weight,Rated Power,Milling Width,Gross Power
1,PM310 (Tier 4 / Stage V),Cold Planers,Cold Planer,46770 lb,343 hp,39.4 in,
2,PM312 (Tier 4 / Stage V),Cold Planers,Cold Planer,47407 lb,343 hp,48.2 in,
3,PM313 (Tier 4 / Stage V),Cold Planers,Cold Planer,47522 lb,343 hp,51.2 in,
4,PM620 (Tier 4 / Stage V),Cold Planers,Cold Planer,69575 lb,,79.1 in,636 hp
5,PM622 (Tier 4 / Stage V),Cold Planers,Cold Planer,70626 lb,,88 in,636 hp
6,PM820 (Tier 4 / Stage V),Cold Planers,Cold Planer,75152 lb,,79.1 in,806 hp
7,PM822 (Tier 4 / Stage V),Cold Planers,Cold Planer,76202 lb,,88 in,806 hp
8,PM825,Cold Planers,Cold Planer,82673 lb,806 hp,98.6 in,
9,PM310 (Tier 4 / Stage V),Cold Planers,Cold Planer,46770 lb,343 hp,39.4 in,
10,PM312 (Tier 4 / Stage V),Cold Planers,Cold Planer,47407 lb,343 hp,48.2 in,
11,PM313 (Tier 4 / Stage V),Cold Planers,Cold Planer,47522 lb,343 hp,51.2 in,
12,PM620 (Tier 4 / Stage V),Cold Planers,Cold Planer,69575 lb,,79.1 in,636 hp
13,PM622 (Tier 4 / Stage V),Cold Planers,Cold Planer,70626 lb,,88 in,636 hp
14,PM820 (Tier 4 / Stage V),Cold Planers,Cold Planer,75152 lb,,79.1 in,806 hp
15,PM822 (Tier 4 / Stage V),Cold Planers,Cold Planer,76202 lb,,88 in,806 hp
16,PM825,Cold Planers,Cold Planer,82673 lb,806 hp,98.6 in,
17,PM310 (Tier 4 / Stage V),Cold Planers,Cold Planer,46770 lb,343 hp,39.4 in,
18,PM312 (Tier 4 / Stage V),Cold Planers,Cold Planer,47407 lb,343 hp,48.2 in,
19,PM313 (Tier 4 / Stage V),Cold Planers,Cold Planer,47522 lb,343 hp,51.2 in,
20,PM620 (Tier 4 / Stage V),Cold Planers,Cold Planer,69575 lb,,79.1 in,636 hp
21,PM622 (Tier 4 / Stage V),Cold Planers,Cold Planer,70626 lb,,88 in,636 hp
22,PM820 (Tier 4 / Stage V),Cold Planers,Cold Planer,75152 lb,,79.1 in,806 hp
23,PM822 (Tier 4 / Stage V),Cold Planers,Cold Planer,76202 lb,,88 in,806 hp
24,PM825,Cold Planers,Cold Planer,82673 lb,806 hp,98.6 in,
25,PM310 (Tier 4 / Stage V),Cold Planers,Cold Planer,46770 lb,343 hp,39.4 in,
26,PM312 (Tier 4 / Stage V),Cold Planers,Cold Planer,47407 lb,343 hp,48.2 in,
27,PM313 (Tier 4 / Stage V),Cold Planers,Cold Planer,47522 lb,343 hp,51.2 in,
28,PM620 (Tier 4 / Stage V),Cold Planers,Cold Planer,69575 lb,,79.1 in,636 hp
29,PM622 (Tier 4 / Stage V),Cold Planers,Cold Planer,70626 lb,,88 in,636 hp
30,PM820 (Tier 4 / Stage V),Cold Planers,Cold Planer,75152 lb,,79.1 in,806 hp
31,PM822 (Tier 4 / Stage V),Cold Planers,Cold Planer,76202 lb,,88 in,806 hp
32,PM825,Cold Planers,Cold Planer,82673 lb,806 hp,98.6 in,
33,PM310 (Tier 4 / Stage V),Cold Planers,Cold Planer,46770 lb,343 hp,39.4 in,
34,PM312 (Tier 4 / Stage V),Cold Planers,Cold Planer,47407 lb,343 hp,48.2 in,
35,PM313 (Tier 4 / Stage V),Cold Planers,Cold Planer,47522 lb,343 hp,51.2 in,
36,PM620 (Tier 4 / Stage V),Cold Planers,Cold Planer,69575 lb,,79.1 in,636 hp
37,PM622 (Tier 4 / Stage V),Cold Planers,Cold Planer,70626 lb,,88 in,636 hp
38,PM820 (Tier 4 / Stage V),Cold Planers,Cold Planer,75152 lb,,79.1 in,806 hp
39,PM822 (Tier 4 / Stage V),Cold Planers,Cold Planer,76202 lb,,88 in,806 hp
40,PM825,Cold Planers,Cold Planer,82673 lb,806 hp,98.6 in,
