id,model_name,product_family,product_category,Control,Engine Power - Net SAE J1349/ISO 9249** - Forward,Engine Power - Net SAE J1349/ISO 9249,Rated Speed,Operating Weight (Tier 4 Final/Stage V),Peak Power Speed,Gross Power,Operating Weight,Engine Model,Net Power - SAE J1349:2011 - Standard Ambient,Power - Net,Net Power - SAE J1349:2011,Operating Weight – Straight Blade (Tier 4 Final/Stage V),Engine Power - Net SAE J1349/ISO 9249 - Forward
1,D1,Dozers,Small Dozers,,,,,,,,17855 lb,Cat C3.6,,80 hp,,,
2,D2,Dozers,Small Dozers,,,,,,,,18382 lb,Cat® C3.6,,92 hp,,,
3,D3,Dozers,Small Dozers,,,,,,,,20639.68 lb,Cat® C3.6,,104 hp,,,
4,D1 Mulcher,Dozers,Small Dozers,Hydraulic,,,,,,,,Cat C3.6,,104 hp,,,
5,D4 - Tier 4/Stage V,Dozers,Medium Dozers,,,,,,,,29259 lb,Cat C4.4,,130 hp,,,
6,D5 - Tier 4/Stage V,Dozers,Medium Dozers,,,,,,,,42263 lb,Cat C7.1,,170 hp,,,
7,D6 - Tier 4/Stage V,Dozers,Medium Dozers,,,,,,,,50733 lb,Cat C9.3B,,215 hp,,,
8,D6 XE - Tier 4/Stage V,Dozers,Medium Dozers,,,,,,,,51333 lb,Cat C9.3B,,215 hp,,,
9,D7 - Tier 4/Stage V,Dozers,Medium Dozers,,,,,,,,65644 lb,Cat C9.3B,,265 hp,,,
10,D8 - Tier 4/Stage V,Dozers,Medium Dozers,,,,,,,,87083 lb,Cat® C15,,363 hp,,,
11,D9,Dozers,Large Dozers,,,452 hp,,,,,110225 lb,Cat® C18,,,,,
12,D10,Dozers,Large Dozers,,602 hp,,,,,,154888 lb,Cat® C27,,,,,
13,D11,Dozers,Large Dozers,,,,,,,,229800 lb,Cat®  C32,,,,,850 hp
14,814,Dozers,Wheel Dozers,,,,,48526 lb,,,,Cat® C7.1,,,249 hp,,
15,824,Dozers,Wheel Dozers,,,,,,,,,Cat® C15 ,,,405 hp,74966 lb,
16,834,Dozers,Wheel Dozers,,,,1900 r/min,,1500 r/min,,,Cat® C18 ,,,,,
17,844,Dozers,Wheel Dozers,,,,,,,,165089 lb,Cat® C27,732 hp,,,,
18,854,Dozers,Wheel Dozers,,,,,,,907 hp,224647 lb,Cat C32B,,,,,
19,D1,Dozers,Small Dozers,,,,,,,,17855 lb,Cat C3.6,,80 hp,,,
20,D2,Dozers,Small Dozers,,,,,,,,18382 lb,Cat® C3.6,,92 hp,,,
21,D3,Dozers,Small Dozers,,,,,,,,20639.68 lb,Cat® C3.6,,104 hp,,,
22,D1 Mulcher,Dozers,Small Dozers,Hydraulic,,,,,,,,Cat C3.6,,104 hp,,,
23,D4 - Tier 4/Stage V,Dozers,Medium Dozers,,,,,,,,29259 lb,Cat C4.4,,130 hp,,,
24,D5 - Tier 4/Stage V,Dozers,Medium Dozers,,,,,,,,42263 lb,Cat C7.1,,170 hp,,,
