id,model_name,product_family,product_category,Boom Length,Bucket Capability,Working Weight - Approximate
1,8000,Draglines,Draglines,75 to 101 m (246 to 331 ft),24 to 34 m3 (31 to 44 yd3),"1 770 000 to 1 988 000 kg (3,902,000 to 4,382,000 lb)"
2,8200,Draglines,Draglines,100 m (328 ft),46-61 m3 (60-80 yd3),3.8-4.1 million kg (8.5-9.1 million lb)
3,8750,Draglines,Draglines,109.7-132.5 m (360-435 ft),76-116 m3 (100-152 yd3),5.8-7.5 million kg (13.1-15.9 million lb)
4,8000,Draglines,Draglines,75 to 101 m (246 to 331 ft),24 to 34 m3 (31 to 44 yd3),"1 770 000 to 1 988 000 kg (3,902,000 to 4,382,000 lb)"
5,8200,Draglines,Draglines,100 m (328 ft),46-61 m3 (60-80 yd3),3.8-4.1 million kg (8.5-9.1 million lb)
6,8750,Draglines,Draglines,109.7-132.5 m (360-435 ft),76-116 m3 (100-152 yd3),5.8-7.5 million kg (13.1-15.9 million lb)
7,8000,Draglines,Draglines,75 to 101 m (246 to 331 ft),24 to 34 m3 (31 to 44 yd3),"1 770 000 to 1 988 000 kg (3,902,000 to 4,382,000 lb)"
8,8200,Draglines,Draglines,100 m (328 ft),46-61 m3 (60-80 yd3),3.8-4.1 million kg (8.5-9.1 million lb)
9,8750,Draglines,Draglines,109.7-132.5 m (360-435 ft),76-116 m3 (100-152 yd3),5.8-7.5 million kg (13.1-15.9 million lb)
10,8000,Draglines,Draglines,75 to 101 m (246 to 331 ft),24 to 34 m3 (31 to 44 yd3),"1 770 000 to 1 988 000 kg (3,902,000 to 4,382,000 lb)"
11,8200,Draglines,Draglines,100 m (328 ft),46-61 m3 (60-80 yd3),3.8-4.1 million kg (8.5-9.1 million lb)
12,8750,Draglines,Draglines,109.7-132.5 m (360-435 ft),76-116 m3 (100-152 yd3),5.8-7.5 million kg (13.1-15.9 million lb)
13,8000,Draglines,Draglines,75 to 101 m (246 to 331 ft),24 to 34 m3 (31 to 44 yd3),"1 770 000 to 1 988 000 kg (3,902,000 to 4,382,000 lb)"
14,8200,Draglines,Draglines,100 m (328 ft),46-61 m3 (60-80 yd3),3.8-4.1 million kg (8.5-9.1 million lb)
15,8750,Draglines,Draglines,109.7-132.5 m (360-435 ft),76-116 m3 (100-152 yd3),5.8-7.5 million kg (13.1-15.9 million lb)
