id,model_name,product_family,product_category,Dipper Payload,Working Weight - With Dipper and Standard Links,Dipper Capacity
1,7495 with Rope Crowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3056000 lb,30.6-62.7 m3 (40-82 yd3)
2,7495 with HydraCrowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3066000 lb,30.6-62.7 m3 (40-82 yd3)
3,7495 HF with Rope Crowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3155000 lb,30.6-62.7 m3 (40-82 yd3)
4,7495 HF with HydraCrowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3164000 lb,30.6-62.7 m3 (40-82 yd3)
5,7495 HD,Electric Rope Shovels,Electric Rope Shovels,90 t,2856700 lb,27.5-60.4 m3 (36-79 yd3)
6,7395,Electric Rope Shovels,Electric Rope Shovels,70 t,2652000 lb,20.6-55.8 m3 (27-73 yd3)
7,7295,Electric Rope Shovels,Electric Rope Shovels,50 t,1748837 lb,19.1-38.2 m3 (25-50 yd3)
8,7495 with Rope Crowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3056000 lb,30.6-62.7 m3 (40-82 yd3)
9,7495 with HydraCrowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3066000 lb,30.6-62.7 m3 (40-82 yd3)
10,7495 HF with Rope Crowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3155000 lb,30.6-62.7 m3 (40-82 yd3)
11,7495 HF with HydraCrowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3164000 lb,30.6-62.7 m3 (40-82 yd3)
12,7495 HD,Electric Rope Shovels,Electric Rope Shovels,90 t,2856700 lb,27.5-60.4 m3 (36-79 yd3)
13,7395,Electric Rope Shovels,Electric Rope Shovels,70 t,2652000 lb,20.6-55.8 m3 (27-73 yd3)
14,7295,Electric Rope Shovels,Electric Rope Shovels,50 t,1748837 lb,19.1-38.2 m3 (25-50 yd3)
15,7495 with Rope Crowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3056000 lb,30.6-62.7 m3 (40-82 yd3)
16,7495 with HydraCrowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3066000 lb,30.6-62.7 m3 (40-82 yd3)
17,7495 HF with Rope Crowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3155000 lb,30.6-62.7 m3 (40-82 yd3)
18,7495 HF with HydraCrowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3164000 lb,30.6-62.7 m3 (40-82 yd3)
19,7495 HD,Electric Rope Shovels,Electric Rope Shovels,90 t,2856700 lb,27.5-60.4 m3 (36-79 yd3)
20,7395,Electric Rope Shovels,Electric Rope Shovels,70 t,2652000 lb,20.6-55.8 m3 (27-73 yd3)
21,7295,Electric Rope Shovels,Electric Rope Shovels,50 t,1748837 lb,19.1-38.2 m3 (25-50 yd3)
22,7495 with Rope Crowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3056000 lb,30.6-62.7 m3 (40-82 yd3)
23,7495 with HydraCrowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3066000 lb,30.6-62.7 m3 (40-82 yd3)
24,7495 HF with Rope Crowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3155000 lb,30.6-62.7 m3 (40-82 yd3)
25,7495 HF with HydraCrowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3164000 lb,30.6-62.7 m3 (40-82 yd3)
26,7495 HD,Electric Rope Shovels,Electric Rope Shovels,90 t,2856700 lb,27.5-60.4 m3 (36-79 yd3)
27,7395,Electric Rope Shovels,Electric Rope Shovels,70 t,2652000 lb,20.6-55.8 m3 (27-73 yd3)
28,7295,Electric Rope Shovels,Electric Rope Shovels,50 t,1748837 lb,19.1-38.2 m3 (25-50 yd3)
29,7495 with Rope Crowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3056000 lb,30.6-62.7 m3 (40-82 yd3)
30,7495 with HydraCrowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3066000 lb,30.6-62.7 m3 (40-82 yd3)
31,7495 HF with Rope Crowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3155000 lb,30.6-62.7 m3 (40-82 yd3)
32,7495 HF with HydraCrowd,Electric Rope Shovels,Electric Rope Shovels,120 t,3164000 lb,30.6-62.7 m3 (40-82 yd3)
33,7495 HD,Electric Rope Shovels,Electric Rope Shovels,90 t,2856700 lb,27.5-60.4 m3 (36-79 yd3)
34,7395,Electric Rope Shovels,Electric Rope Shovels,70 t,2652000 lb,20.6-55.8 m3 (27-73 yd3)
35,7295,Electric Rope Shovels,Electric Rope Shovels,50 t,1748837 lb,19.1-38.2 m3 (25-50 yd3)
