id,model_name,product_family,product_category,Maximum Weight at Stick Nose,Maximum Pin Height at Stick Nose,Maximum Digging Depth,Net Power,Maximum Travel Speed,Operating Weight Maximum,Forward/Reverse - 2nd Gear,Operating Weight,Dig Depth,Engine Power - ISO 14396:2002,Net Power - ISO 9249
1,300.9D,Excavators,Mini Excavators,,,,13 hp,,,,2061 lb,68 in,,
2,300.9D VPS &amp; HPU300,Excavators,Mini Excavators,,,,13 hp,,,,2399 lb,68 in,,
3,301.5,Excavators,Mini Excavators,,,,21 hp,,,,3913 lb,100 in,,
4,301.7 CR,Excavators,Mini Excavators,,,,21 hp,,,,4222 lb,100 in,,
5,301.8,Excavators,Mini Excavators,,,,21 hp,,,,4473 lb,101.2 in,,
6,302 CR,Excavators,Mini Excavators,,,,21 hp,,,,4987 lb,101.2 in,,
7,302.7 CR,Excavators,Mini Excavators,,,,23.6 hp,,,,6725 lb,106.7 in,,
8,303 CR,Excavators,Mini Excavators,,,,23.6 hp,,,,7817 lb,116.1 in,,
9,303.5 CR,Excavators,Mini Excavators,,,,23.6 hp,,,,9239 lb,122.4 in,,
10,304,Excavators,Mini Excavators,,,,45 hp,,,,9867 lb,138.2 in,,
11,305 CR - Tier 4 / Stage V,Excavators,Mini Excavators,,,,45 hp,,,,12688 lb,144.5 in,,
12,306 CR,Excavators,Mini Excavators,,,,55.9 hp,,,,15766 lb,162 in,,
13,307.5 - Tier 4 / Stage V,Excavators,Mini Excavators,,,,54.8 hp,,,,17905 lb,182.8 in,,
14,308 CR,Excavators,Mini Excavators,,,,69.5 hp,,,,18493 lb,182.8 in,,
15,308 CR VAB,Excavators,Mini Excavators,,,,69.5 hp,,,,20385 lb,150.2 in,,
16,309 CR,Excavators,Mini Excavators,,,,69.5 hp,,,,21091 lb,182.8 in,,
17,309 CR VAB (Long Undercarriage),Excavators,Mini Excavators,,,,69.5 hp,,,,21477 lb,150.2 in,,
18,310 - Tier 4 / Stage V,Excavators,Mini Excavators,,,,69.5 hp,,,,23002 lb,205.2 in,,
19,313 GC - Tier 4 / Stage V,Excavators,Small Excavators,,,19.8 ft,,,,,30400 lb,,,73 hp
20,313,Excavators,Small Excavators,,,19.2 ft,,,,,30400 lb,,,108 hp
21,315 GC,Excavators,Small Excavators,,,19.7 ft,,,,,34000 lb,,,98 hp
22,315,Excavators,Small Excavators,,,19.7 ft,,,,,34000 lb,,,108 hp
23,317 GC,Excavators,Small Excavators,,,21 ft,,,,,38000 lb,,,119 hp
24,317,Excavators,Small Excavators,,,21 ft,,,,,40200 lb,,,133 hp
25,320 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22 ft,,,,,49800 lb,,,172 hp
26,320 GC - Tier 4 / Stage V,Excavators,Medium Excavators,,,22 ft,,,,,48500 lb,,,146 hp
27,323 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22.1 ft,,,,,55100 lb,,,172 hp
28,325 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22 ft,,,,,62800 lb,,,172 hp
29,326 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22.4 ft,,,,,56400 lb,,,201 hp
30,330 - Tier 4 / Stage V,Excavators,Medium Excavators,,,23.9 ft,,,,,69200 lb,,,273 hp
31,330 GC - Tier 4 / Stage V,Excavators,Medium Excavators,,,23.8 ft,,,,,68100 lb,,,201 hp
32,335 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22.9 ft,,,,,77000 lb,,,273 hp
33,336 -Tier 4 / Stage V,Excavators,Large Excavators,,,26.11 ft,,,,,81100 lb,,,300 hp
34,340 - Tier 4 / Stage V,Excavators,Large Excavators,,,26.9 ft,,,,,83100 lb,,,346 hp
35,350 - Tier 4 / Stage V,Excavators,Large Excavators,,,26.11 ft,,,,,105100 lb,,,413 hp
36,352 - Tier 4 / Stage V,Excavators,Large Excavators,,,26.11 ft,,,,,107800 lb,,,443 hp
37,374 - Tier 4 / Stage V,Excavators,Large Excavators,,,28.1 ft,,,,,162900 lb,,,484 hp
38,395 - Tier 4 / Stage V,Excavators,Large Excavators,,,31.9 ft,,,,,207400 lb,,,542 hp
39,330 UHD Hydraulic Excavator,Excavators,Demolition Excavators,7300 lb,66.8 ft,,,,,,101400 lb,,,
40,340 Straight Boom,Excavators,Demolition Excavators,9170 lb,39.4 ft,,,,,,87800 lb,,,
41,340 UHD,Excavators,Demolition Excavators,8160 lb,72.2 ft,,,,,,122600 lb,,,
42,352 Straight Boom,Excavators,Demolition Excavators,12456 lb,42.2 ft,,,,,,121000 lb,,,
43,352 UHD,Excavators,Demolition Excavators,8157 lb,90.8 ft,,,,,,142200 lb,,,
44,340 Long Reach,Excavators,Long Reach Excavation,,,42.8 ft,,,,,96500 lb,,,346 hp
45,352 Long Reach,Excavators,Long Reach Excavation,,,42.8 ft,,,,,128100 lb,,,443 hp
46,M314,Excavators,Wheel Excavators,,,,,23 mile/h,39683 lb,,,,134 hp,
47,M315,Excavators,Wheel Excavators,,,,,21.7 mile/h,39680 lb,,,,148 hp,
48,M316,Excavators,Wheel Excavators,,,,,21.7 mile/h,36400 lb,,,,148 hp,
49,M318,Excavators,Wheel Excavators,,,,,21.7 mile/h,43980 lb,,,,174 hp,
50,M319,Excavators,Wheel Excavators,,,,,21.7 mile/h,46407 lb,,,,174 hp,
51,M320,Excavators,Wheel Excavators,,,,,21.7 mile/h,46740 lb,,,,174 hp,
52,M322,Excavators,Wheel Excavators,,,,,,52911 lb,18.6 mile/h,,,174 hp,
53,300.9D,Excavators,Mini Excavators,,,,13 hp,,,,2061 lb,68 in,,
54,300.9D VPS &amp; HPU300,Excavators,Mini Excavators,,,,13 hp,,,,2399 lb,68 in,,
55,301.5,Excavators,Mini Excavators,,,,21 hp,,,,3913 lb,100 in,,
56,301.7 CR,Excavators,Mini Excavators,,,,21 hp,,,,4222 lb,100 in,,
57,301.8,Excavators,Mini Excavators,,,,21 hp,,,,4473 lb,101.2 in,,
58,302 CR,Excavators,Mini Excavators,,,,21 hp,,,,4987 lb,101.2 in,,
59,302.7 CR,Excavators,Mini Excavators,,,,23.6 hp,,,,6725 lb,106.7 in,,
60,303 CR,Excavators,Mini Excavators,,,,23.6 hp,,,,7817 lb,116.1 in,,
61,303.5 CR,Excavators,Mini Excavators,,,,23.6 hp,,,,9239 lb,122.4 in,,
62,304,Excavators,Mini Excavators,,,,45 hp,,,,9867 lb,138.2 in,,
63,305 CR - Tier 4 / Stage V,Excavators,Mini Excavators,,,,45 hp,,,,12688 lb,144.5 in,,
64,306 CR,Excavators,Mini Excavators,,,,55.9 hp,,,,15766 lb,162 in,,
65,307.5 - Tier 4 / Stage V,Excavators,Mini Excavators,,,,54.8 hp,,,,17905 lb,182.8 in,,
66,308 CR,Excavators,Mini Excavators,,,,69.5 hp,,,,18493 lb,182.8 in,,
67,308 CR VAB,Excavators,Mini Excavators,,,,69.5 hp,,,,20385 lb,150.2 in,,
68,309 CR,Excavators,Mini Excavators,,,,69.5 hp,,,,21091 lb,182.8 in,,
69,309 CR VAB (Long Undercarriage),Excavators,Mini Excavators,,,,69.5 hp,,,,21477 lb,150.2 in,,
70,310 - Tier 4 / Stage V,Excavators,Mini Excavators,,,,69.5 hp,,,,23002 lb,205.2 in,,
71,313 GC - Tier 4 / Stage V,Excavators,Small Excavators,,,19.8 ft,,,,,30400 lb,,,73 hp
72,313,Excavators,Small Excavators,,,19.2 ft,,,,,30400 lb,,,108 hp
73,315 GC,Excavators,Small Excavators,,,19.7 ft,,,,,34000 lb,,,98 hp
74,315,Excavators,Small Excavators,,,19.7 ft,,,,,34000 lb,,,108 hp
75,317 GC,Excavators,Small Excavators,,,21 ft,,,,,38000 lb,,,119 hp
76,317,Excavators,Small Excavators,,,21 ft,,,,,40200 lb,,,133 hp
77,320 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22 ft,,,,,49800 lb,,,172 hp
78,320 GC - Tier 4 / Stage V,Excavators,Medium Excavators,,,22 ft,,,,,48500 lb,,,146 hp
79,323 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22.1 ft,,,,,55100 lb,,,172 hp
80,325 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22 ft,,,,,62800 lb,,,172 hp
81,326 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22.4 ft,,,,,56400 lb,,,201 hp
82,330 - Tier 4 / Stage V,Excavators,Medium Excavators,,,23.9 ft,,,,,69200 lb,,,273 hp
83,330 GC - Tier 4 / Stage V,Excavators,Medium Excavators,,,23.8 ft,,,,,68100 lb,,,201 hp
84,335 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22.9 ft,,,,,77000 lb,,,273 hp
85,336 -Tier 4 / Stage V,Excavators,Large Excavators,,,26.11 ft,,,,,81100 lb,,,300 hp
86,340 - Tier 4 / Stage V,Excavators,Large Excavators,,,26.9 ft,,,,,83100 lb,,,346 hp
87,350 - Tier 4 / Stage V,Excavators,Large Excavators,,,26.11 ft,,,,,105100 lb,,,413 hp
88,352 - Tier 4 / Stage V,Excavators,Large Excavators,,,26.11 ft,,,,,107800 lb,,,443 hp
89,374 - Tier 4 / Stage V,Excavators,Large Excavators,,,28.1 ft,,,,,162900 lb,,,484 hp
90,395 - Tier 4 / Stage V,Excavators,Large Excavators,,,31.9 ft,,,,,207400 lb,,,542 hp
91,330 UHD Hydraulic Excavator,Excavators,Demolition Excavators,7300 lb,66.8 ft,,,,,,101400 lb,,,
92,340 Straight Boom,Excavators,Demolition Excavators,9170 lb,39.4 ft,,,,,,87800 lb,,,
93,340 UHD,Excavators,Demolition Excavators,8160 lb,72.2 ft,,,,,,122600 lb,,,
94,352 Straight Boom,Excavators,Demolition Excavators,12456 lb,42.2 ft,,,,,,121000 lb,,,
95,352 UHD,Excavators,Demolition Excavators,8157 lb,90.8 ft,,,,,,142200 lb,,,
96,340 Long Reach,Excavators,Long Reach Excavation,,,42.8 ft,,,,,96500 lb,,,346 hp
97,352 Long Reach,Excavators,Long Reach Excavation,,,42.8 ft,,,,,128100 lb,,,443 hp
98,M314,Excavators,Wheel Excavators,,,,,23 mile/h,39683 lb,,,,134 hp,
99,M315,Excavators,Wheel Excavators,,,,,21.7 mile/h,39680 lb,,,,148 hp,
100,M316,Excavators,Wheel Excavators,,,,,21.7 mile/h,36400 lb,,,,148 hp,
101,M318,Excavators,Wheel Excavators,,,,,21.7 mile/h,43980 lb,,,,174 hp,
102,M319,Excavators,Wheel Excavators,,,,,21.7 mile/h,46407 lb,,,,174 hp,
103,M320,Excavators,Wheel Excavators,,,,,21.7 mile/h,46740 lb,,,,174 hp,
104,M322,Excavators,Wheel Excavators,,,,,,52911 lb,18.6 mile/h,,,174 hp,
