id,model_name,product_family,product_category,Engine Output - SAE J1995,Operating Weight,Bucket Payload
1,6015,Hydraulic Mining Shovels,Hydraulic Mining Shovels,824 hp,154.3 ton (US),16.1 ton (US)
2,6020,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1040 hp,253.8 ton (US),23.8 ton (US)
3,6020B,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1040 hp,253.8 ton (US),23.8 ton (US)
4,6030,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1649 hp,324 ton (US),33 ton (US)
5,6040,Hydraulic Mining Shovels,Hydraulic Mining Shovels,2079 hp,446 ton (US),43.7 ton (US)
6,6060,Hydraulic Mining Shovels,Hydraulic Mining Shovels,3015 hp,660 ton (US),67 ton (US)
7,6015,Hydraulic Mining Shovels,Hydraulic Mining Shovels,824 hp,154.3 ton (US),16.1 ton (US)
8,6020,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1040 hp,253.8 ton (US),23.8 ton (US)
9,6020B,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1040 hp,253.8 ton (US),23.8 ton (US)
10,6030,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1649 hp,324 ton (US),33 ton (US)
11,6040,Hydraulic Mining Shovels,Hydraulic Mining Shovels,2079 hp,446 ton (US),43.7 ton (US)
12,6060,Hydraulic Mining Shovels,Hydraulic Mining Shovels,3015 hp,660 ton (US),67 ton (US)
13,6015,Hydraulic Mining Shovels,Hydraulic Mining Shovels,824 hp,154.3 ton (US),16.1 ton (US)
14,6020,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1040 hp,253.8 ton (US),23.8 ton (US)
15,6020B,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1040 hp,253.8 ton (US),23.8 ton (US)
16,6030,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1649 hp,324 ton (US),33 ton (US)
17,6040,Hydraulic Mining Shovels,Hydraulic Mining Shovels,2079 hp,446 ton (US),43.7 ton (US)
18,6060,Hydraulic Mining Shovels,Hydraulic Mining Shovels,3015 hp,660 ton (US),67 ton (US)
19,6015,Hydraulic Mining Shovels,Hydraulic Mining Shovels,824 hp,154.3 ton (US),16.1 ton (US)
20,6020,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1040 hp,253.8 ton (US),23.8 ton (US)
21,6020B,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1040 hp,253.8 ton (US),23.8 ton (US)
22,6030,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1649 hp,324 ton (US),33 ton (US)
23,6040,Hydraulic Mining Shovels,Hydraulic Mining Shovels,2079 hp,446 ton (US),43.7 ton (US)
24,6060,Hydraulic Mining Shovels,Hydraulic Mining Shovels,3015 hp,660 ton (US),67 ton (US)
25,6015,Hydraulic Mining Shovels,Hydraulic Mining Shovels,824 hp,154.3 ton (US),16.1 ton (US)
26,6020,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1040 hp,253.8 ton (US),23.8 ton (US)
27,6020B,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1040 hp,253.8 ton (US),23.8 ton (US)
28,6030,Hydraulic Mining Shovels,Hydraulic Mining Shovels,1649 hp,324 ton (US),33 ton (US)
29,6040,Hydraulic Mining Shovels,Hydraulic Mining Shovels,2079 hp,446 ton (US),43.7 ton (US)
30,6060,Hydraulic Mining Shovels,Hydraulic Mining Shovels,3015 hp,660 ton (US),67 ton (US)
