id,model_name,product_family,product_category,Operating Weight,Engine Model,Maximum Reach,Maximum Operating Weight
1,MH3250,Material Handlers,Track Material Handlers,107700 lb,Cat C9.3B,52.5 ft,
2,MH3260,Material Handlers,Track Material Handlers,133200 lb,Cat C13,59.1 ft,
3,MH3022,Material Handlers,Wheel Material Handlers,,Cat C4.4,30.4 ft,54000 lb
4,MH3024,Material Handlers,Wheel Material Handlers,,Cat C4.4,39.4 ft,59100 lb
5,MH3026,Material Handlers,Wheel Material Handlers,,Cat C7.1,42.7 ft,64370 lb
6,MH3032 - Tier 4 / Stage V,Material Handlers,Wheel Material Handlers,78950 lb,Cat® C7.1,46.2 ft,
7,MH3040,Material Handlers,Wheel Material Handlers,,Cat C7.1,50.8 ft,86000 lb
8,MH3050,Material Handlers,Wheel Material Handlers,,Cat C9.3B,59.3 ft,110250 lb
9,MH3250,Material Handlers,Track Material Handlers,107700 lb,Cat C9.3B,52.5 ft,
10,MH3260,Material Handlers,Track Material Handlers,133200 lb,Cat C13,59.1 ft,
11,MH3022,Material Handlers,Wheel Material Handlers,,Cat C4.4,30.4 ft,54000 lb
12,MH3024,Material Handlers,Wheel Material Handlers,,Cat C4.4,39.4 ft,59100 lb
13,MH3026,Material Handlers,Wheel Material Handlers,,Cat C7.1,42.7 ft,64370 lb
14,MH3032 - Tier 4 / Stage V,Material Handlers,Wheel Material Handlers,78950 lb,Cat® C7.1,46.2 ft,
15,MH3040,Material Handlers,Wheel Material Handlers,,Cat C7.1,50.8 ft,86000 lb
16,MH3050,Material Handlers,Wheel Material Handlers,,Cat C9.3B,59.3 ft,110250 lb
17,MH3250,Material Handlers,Track Material Handlers,107700 lb,Cat C9.3B,52.5 ft,
18,MH3260,Material Handlers,Track Material Handlers,133200 lb,Cat C13,59.1 ft,
19,MH3022,Material Handlers,Wheel Material Handlers,,Cat C4.4,30.4 ft,54000 lb
20,MH3024,Material Handlers,Wheel Material Handlers,,Cat C4.4,39.4 ft,59100 lb
21,MH3026,Material Handlers,Wheel Material Handlers,,Cat C7.1,42.7 ft,64370 lb
22,MH3032 - Tier 4 / Stage V,Material Handlers,Wheel Material Handlers,78950 lb,Cat® C7.1,46.2 ft,
23,MH3040,Material Handlers,Wheel Material Handlers,,Cat C7.1,50.8 ft,86000 lb
24,MH3050,Material Handlers,Wheel Material Handlers,,Cat C9.3B,59.3 ft,110250 lb
25,MH3250,Material Handlers,Track Material Handlers,107700 lb,Cat C9.3B,52.5 ft,
26,MH3260,Material Handlers,Track Material Handlers,133200 lb,Cat C13,59.1 ft,
27,MH3022,Material Handlers,Wheel Material Handlers,,Cat C4.4,30.4 ft,54000 lb
28,MH3024,Material Handlers,Wheel Material Handlers,,Cat C4.4,39.4 ft,59100 lb
29,MH3026,Material Handlers,Wheel Material Handlers,,Cat C7.1,42.7 ft,64370 lb
30,MH3032 - Tier 4 / Stage V,Material Handlers,Wheel Material Handlers,78950 lb,Cat® C7.1,46.2 ft,
31,MH3040,Material Handlers,Wheel Material Handlers,,Cat C7.1,50.8 ft,86000 lb
32,MH3050,Material Handlers,Wheel Material Handlers,,Cat C9.3B,59.3 ft,110250 lb
33,MH3250,Material Handlers,Track Material Handlers,107700 lb,Cat C9.3B,52.5 ft,
34,MH3260,Material Handlers,Track Material Handlers,133200 lb,Cat C13,59.1 ft,
35,MH3022,Material Handlers,Wheel Material Handlers,,Cat C4.4,30.4 ft,54000 lb
36,MH3024,Material Handlers,Wheel Material Handlers,,Cat C4.4,39.4 ft,59100 lb
37,MH3026,Material Handlers,Wheel Material Handlers,,Cat C7.1,42.7 ft,64370 lb
38,MH3032 - Tier 4 / Stage V,Material Handlers,Wheel Material Handlers,78950 lb,Cat® C7.1,46.2 ft,
39,MH3040,Material Handlers,Wheel Material Handlers,,Cat C7.1,50.8 ft,86000 lb
40,MH3050,Material Handlers,Wheel Material Handlers,,Cat C9.3B,59.3 ft,110250 lb
