id,model_name,product_family,product_category,Engine Model,Flywheel Power,Lift Capacity
1,PL83,Pipelayers,Pipelayers,Cat C15,319 hp,170000 lb
2,PL87,Pipelayers,Pipelayers,Cat C15,319 hp,216000 lb
3,PL83,Pipelayers,Pipelayers,Cat C15,319 hp,170000 lb
4,PL87,Pipelayers,Pipelayers,Cat C15,319 hp,216000 lb
5,PL83,Pipelayers,Pipelayers,Cat C15,319 hp,170000 lb
6,PL87,Pipelayers,Pipelayers,Cat C15,319 hp,216000 lb
7,PL83,Pipelayers,Pipelayers,Cat C15,319 hp,170000 lb
8,PL87,Pipelayers,Pipelayers,Cat C15,319 hp,216000 lb
9,PL83,Pipelayers,Pipelayers,Cat C15,319 hp,170000 lb
10,PL87,Pipelayers,Pipelayers,Cat C15,319 hp,216000 lb
