id,model_name,product_family,product_category,Gross Power - SAE J1995,Gross Power - SAE J1995:2014,Operating Weight,Rated Operating Capacity,Rated Operating Capacities - 35% Tipping Load
1,239D3,Skid Steer and Compact Track Loaders,Compact Track Loaders,67.1 hp,,7434 lb,,1530 lb
2,249D3,Skid Steer and Compact Track Loaders,Compact Track Loaders,67.1 hp,,7831 lb,,1740 lb
3,259D3,Skid Steer and Compact Track Loaders,Compact Track Loaders,74.3 hp,,8987 lb,,2010 lb
4,255,Skid Steer and Compact Track Loaders,Compact Track Loaders,74.3 hp,,9578 lb,,2499 lb
5,265,Skid Steer and Compact Track Loaders,Compact Track Loaders,74 hp,,10492 lb,,2823 lb
6,275,Skid Steer and Compact Track Loaders,Compact Track Loaders,111 hp,,12401 lb,,4156 lb
7,275 XE,Skid Steer and Compact Track Loaders,Compact Track Loaders,122 hp,,12705 lb,,4205 lb
8,279D3,Skid Steer and Compact Track Loaders,Compact Track Loaders,74.3 hp,,10095 lb,,2220 lb
9,289D3,Skid Steer and Compact Track Loaders,Compact Track Loaders,74.3 hp,,10688 lb,,2890 lb
10,299D3,Skid Steer and Compact Track Loaders,Compact Track Loaders,98 hp,,11464 lb,,3480 lb
11,299D3 XE,Skid Steer and Compact Track Loaders,Compact Track Loaders,110 hp,,11756 lb,,3560 lb
12,299D3 XE Land Management,Skid Steer and Compact Track Loaders,Compact Track Loaders,110 hp,,12764 lb,,4340 lb
13,226D3,Skid Steer and Compact Track Loaders,Skid Steer Loaders,,67.1 hp,5849 lb,1550 lb,
14,232D3,Skid Steer and Compact Track Loaders,Skid Steer Loaders,,67.1 hp,6514 lb,1900 lb,
15,236D3,Skid Steer and Compact Track Loaders,Skid Steer Loaders,,74.3 hp,6567 lb,1800 lb,
16,242D3,Skid Steer and Compact Track Loaders,Skid Steer Loaders,,74.3 hp,7138 lb,2200 lb,
17,246D3,Skid Steer and Compact Track Loaders,Skid Steer Loaders,,74.3 hp,7478 lb,2200 lb,
18,262D3,Skid Steer and Compact Track Loaders,Skid Steer Loaders,,74.3 hp,8296 lb,2700 lb,
19,272D3,Skid Steer and Compact Track Loaders,Skid Steer Loaders,,98 hp,9133 lb,3450 lb,
20,272D3 XE,Skid Steer and Compact Track Loaders,Skid Steer Loaders,,110 hp,9573 lb,3700 lb,
21,250,Skid Steer and Compact Track Loaders,Skid Steer Loaders,,74 hp,7829 lb,2689 lb,
22,260,Skid Steer and Compact Track Loaders,Skid Steer Loaders,,74 hp,8523 lb,3160 lb,
23,270,Skid Steer and Compact Track Loaders,Skid Steer Loaders,,100 hp,10441 lb,3557 lb,
