id,model_name,product_family,product_category,Rated Load Capacity,Engine Model,Maximum Lift Height
1,TH255C,Telehandlers,Telehandlers,5500 lb,TD 2.9L L4*,18.37 ft
2,TL642,Telehandlers,Telehandlers,6500 lb,Cat® C3.6L,42 ft
3,TL642 w/Stabilizers,Telehandlers,Telehandlers,6500 lb,Cat® C3.6L,42 ft
4,TL943,Telehandlers,Telehandlers,9000 lb,Cat® C3.6L,43 ft
5,TL943 w/Stabilizers,Telehandlers,Telehandlers,9000 lb,Cat® C3.6L,43 ft
6,TL1055,Telehandlers,Telehandlers,10000 lb,Cat® C3.6L*,54.9 ft
7,TL1255,Telehandlers,Telehandlers,12000 lb,Cat® C3.6L*,54.9 ft
8,TH255C,Telehandlers,Telehandlers,5500 lb,TD 2.9L L4*,18.37 ft
9,TL642,Telehandlers,Telehandlers,6500 lb,Cat® C3.6L,42 ft
10,TL642 w/Stabilizers,Telehandlers,Telehandlers,6500 lb,Cat® C3.6L,42 ft
11,TL943,Telehandlers,Telehandlers,9000 lb,Cat® C3.6L,43 ft
12,TL943 w/Stabilizers,Telehandlers,Telehandlers,9000 lb,Cat® C3.6L,43 ft
13,TL1055,Telehandlers,Telehandlers,10000 lb,Cat® C3.6L*,54.9 ft
14,TL1255,Telehandlers,Telehandlers,12000 lb,Cat® C3.6L*,54.9 ft
15,TH255C,Telehandlers,Telehandlers,5500 lb,TD 2.9L L4*,18.37 ft
16,TL642,Telehandlers,Telehandlers,6500 lb,Cat® C3.6L,42 ft
17,TL642 w/Stabilizers,Telehandlers,Telehandlers,6500 lb,Cat® C3.6L,42 ft
18,TL943,Telehandlers,Telehandlers,9000 lb,Cat® C3.6L,43 ft
19,TL943 w/Stabilizers,Telehandlers,Telehandlers,9000 lb,Cat® C3.6L,43 ft
20,TL1055,Telehandlers,Telehandlers,10000 lb,Cat® C3.6L*,54.9 ft
21,TL1255,Telehandlers,Telehandlers,12000 lb,Cat® C3.6L*,54.9 ft
22,TH255C,Telehandlers,Telehandlers,5500 lb,TD 2.9L L4*,18.37 ft
23,TL642,Telehandlers,Telehandlers,6500 lb,Cat® C3.6L,42 ft
24,TL642 w/Stabilizers,Telehandlers,Telehandlers,6500 lb,Cat® C3.6L,42 ft
25,TL943,Telehandlers,Telehandlers,9000 lb,Cat® C3.6L,43 ft
26,TL943 w/Stabilizers,Telehandlers,Telehandlers,9000 lb,Cat® C3.6L,43 ft
27,TL1055,Telehandlers,Telehandlers,10000 lb,Cat® C3.6L*,54.9 ft
28,TL1255,Telehandlers,Telehandlers,12000 lb,Cat® C3.6L*,54.9 ft
29,TH255C,Telehandlers,Telehandlers,5500 lb,TD 2.9L L4*,18.37 ft
30,TL642,Telehandlers,Telehandlers,6500 lb,Cat® C3.6L,42 ft
31,TL642 w/Stabilizers,Telehandlers,Telehandlers,6500 lb,Cat® C3.6L,42 ft
32,TL943,Telehandlers,Telehandlers,9000 lb,Cat® C3.6L,43 ft
33,TL943 w/Stabilizers,Telehandlers,Telehandlers,9000 lb,Cat® C3.6L,43 ft
34,TL1055,Telehandlers,Telehandlers,10000 lb,Cat® C3.6L*,54.9 ft
35,TL1255,Telehandlers,Telehandlers,12000 lb,Cat® C3.6L*,54.9 ft
