id,model_name,product_family,product_category,Operating Weight,Capacity - General Purpose,Flywheel Power
1,953,Track Loaders,Track Loaders,34594 lb,2.4 yd³,160 hp
2,963,Track Loaders,Track Loaders,44881 lb,3.2 yd³,202 hp
3,973,Track Loaders,Track Loaders,65901 lb,4.2 yd³,275 hp
4,953,Track Loaders,Track Loaders,34594 lb,2.4 yd³,160 hp
5,963,Track Loaders,Track Loaders,44881 lb,3.2 yd³,202 hp
6,973,Track Loaders,Track Loaders,65901 lb,4.2 yd³,275 hp
7,953,Track Loaders,Track Loaders,34594 lb,2.4 yd³,160 hp
8,963,Track Loaders,Track Loaders,44881 lb,3.2 yd³,202 hp
9,973,Track Loaders,Track Loaders,65901 lb,4.2 yd³,275 hp
10,953,Track Loaders,Track Loaders,34594 lb,2.4 yd³,160 hp
11,963,Track Loaders,Track Loaders,44881 lb,3.2 yd³,202 hp
12,973,Track Loaders,Track Loaders,65901 lb,4.2 yd³,275 hp
13,953,Track Loaders,Track Loaders,34594 lb,2.4 yd³,160 hp
14,963,Track Loaders,Track Loaders,44881 lb,3.2 yd³,202 hp
15,973,Track Loaders,Track Loaders,65901 lb,4.2 yd³,275 hp
