id,model_name,product_family,product_category,Scraper Capacity - Heaped,Scraper Engine,Flywheel Power - Tractor,Tractor Engine,Flywheel Power - Tractor/Scraper,Gross Power (SAE J1995),Top Speed - Loaded
1,637,Wheel Tractor-Scrapers,Coal Bowl Scrapers,50 yd³,,,,425 kW (570 hp)/216 kW (290 hp),,34.7 mile/h
2,657 Coal Bowl,Wheel Tractor-Scrapers,Coal Bowl Scrapers,,Cat C15,,Cat C18,469kW (629 hp) / 353 kW (473 hp),,
3,623,Wheel Tractor-Scrapers,Elevating Scrapers,23 yd³,,,,304 kW (407 hp),,33.5 mile/h
4,621,Wheel Tractor-Scrapers,Open Bowl Scrapers,24 yd³,,,,304 kW (407 hp),,33.5 mile/h
5,621,Wheel Tractor-Scrapers,Open Bowl Scrapers,24 yd³,,,,304 kW (407 hp),,33.5 mile/h
6,627,Wheel Tractor-Scrapers,Open Bowl Scrapers,24 yd³,,,,304 kW (407 hp)/216 kW (290 hp),,33.5 mile/h
7,631,Wheel Tractor-Scrapers,Open Bowl Scrapers,34 yd³,,,,570 hp,,34.7 mile/h
8,637,Wheel Tractor-Scrapers,Open Bowl Scrapers,34 yd³,,,,570 hp,,34.7 mile/h
9,651,Wheel Tractor-Scrapers,Open Bowl Scrapers,44 yd³,,,Cat C18,469kW (629 hp),,
10,657,Wheel Tractor-Scrapers,Open Bowl Scrapers,,Cat C15,,Cat C18,469kW (629 hp) / 353 kW (473 hp),,
11,621 Partial Scraper,Wheel Tractor-Scrapers,Partial Scrapers,,,407 hp,Cat® C13,,,33.5 mile/h
12,631 Partial Scraper,Wheel Tractor-Scrapers,Partial Scrapers,,,570 hp,Cat® C18,,,34.7 mile/h
13,651 Partial Scraper,Wheel Tractor-Scrapers,Partial Scrapers,,,,Cat® C18,,637 hp,34.9 mile/h
14,637,Wheel Tractor-Scrapers,Coal Bowl Scrapers,50 yd³,,,,425 kW (570 hp)/216 kW (290 hp),,34.7 mile/h
15,657 Coal Bowl,Wheel Tractor-Scrapers,Coal Bowl Scrapers,,Cat C15,,Cat C18,469kW (629 hp) / 353 kW (473 hp),,
16,623,Wheel Tractor-Scrapers,Elevating Scrapers,23 yd³,,,,304 kW (407 hp),,33.5 mile/h
17,621,Wheel Tractor-Scrapers,Open Bowl Scrapers,24 yd³,,,,304 kW (407 hp),,33.5 mile/h
