id,product_model_name,product_display_name,image_url,product_page_url,operating_weight_kg,max_digging_reach_mm,engine_rated_power_kw,max_digging_depth_mm
1,ZX17U-5N,ZX17U-5N,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX17U-5N_W5A7802_front-2,https://www.hitachicm.com/us/en/products/excavators/compact/product.zx17u-5n/,"3,790lb (1,720kg)",12ft 2in (3.72m),14.7HP (10.8kW),7ft 2in (2.19m)
2,ZX26U-5N,ZX26U-5N,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX26U-5N_canopy_omiai01_front-1,https://www.hitachicm.com/us/en/products/excavators/compact/product.zx26u-5n/,"5,560lb (2,520kg)",15ft (4.57m),20.3HP (14.9kW),8ft 6in (2.59m)
3,ZX30U-5N,ZX30U-5N,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX30U-5N_omiai001,https://www.hitachicm.com/us/en/products/excavators/compact/product.zx30u-5n/,"6,680lb - 7,055lb (3,030kg - 3,200kg)",15ft 7in (4.75m),23.7 HP (17.4 kW),9ft 2in (2.79m)
4,ZX35U-5N,ZX35U-5N,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX35U-5N_Machine_Photo_0001,https://www.hitachicm.com/us/en/products/excavators/compact/product.zx35u-5n/,"7,584lb - 9,017lb (3,440kg - 4,090kg)",16ft 8in - 17ft 9in (5.08m - 5.41m),23.7HP (17.4kW),10ft - 11ft 4in (3.06m - 3.46m)
5,ZX50U-5N,ZX50U-5N,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX50U-5N_Machine%20Photo_0001,https://www.hitachicm.com/us/en/products/excavators/compact/product.zx50u-5n/,"11,054lb - 11,729lb (5,014kg - 5,320kg)",20ft 1in (6.13m),36.8HP (27.1kW),12ft 7in (3.83m)
6,ZX60USB-5N,ZX60USB-5N,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX60USB-5N_Machine_Photo,https://www.hitachicm.com/us/en/products/excavators/compact/product.zx60usb-5n/,"13,426lb - 14,418lb (6,090kg - 6,540kg)",21ft 1in (6.42m),53.8HP (39.6kW),13ft 6in (4.12m)
7,ZX75US-7,ZX75US-7,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX75US-7_Machine-PhotoOmiai_0002-1-e1704399908334,https://www.hitachicm.com/us/en/products/excavators/compact/product.zx75us-7/,"18,300lb - 18,900lb (8,286kg - 8,554 kg)",22ft 1in (6.72m),63.7HP (47.5kW),15ft 3in (4.65m)
8,ZX75US-5N,ZX75US-5N,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX75US-Front3qtrs-3701-with-BG_900x580,https://www.hitachicm.com/us/en/products/excavators/compact/product.zx75us-5n/,"17,831lb (8,088kg)",22ft 8in (6.92m),53HP (39.5kW),15ft 1in (4.61m)
9,ZX85USB-5N,ZX85USB-5N,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX85USB-5N_Carousel2_900x580,https://www.hitachicm.com/us/en/products/excavators/compact/product.zx85usb-5n/,"18,735lb (8,498kg)",25ft 3in (7.7m),53HP (39.5kW),14ft 10in (4.51m)
10,ZX85USB-7,ZX85USB-7,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX85USB-7_Machine-PhotoOmiai_0002-e1704400021369,https://www.hitachicm.com/us/en/products/excavators/compact/product.zx85usb-7/,"19,200lb - 19,800lb (8,286kg - 8,994kg)",24ft 4in (7.42m),63.7HP (47.5kW),14ft 10in (4.53m)
