model,series,category,equipment_type,operating_weight_with_tops_canopy_and_bucket_(iso_6016)_kg,transport_mass_(no_attachment)_kg,ground_pressure_with_rubber_tracks_kpa,bucket_pivot_angle_°,maximum_reach_of_working_equipment_mm,maximum_reach_at_ground_level_mm,maximum_working_equipment_radius_with_boom_at_maximum_height_and_dipperstick_fully_retracted_mm,maximum_blade_height_mm,maximum_blade_depth_mm,maximum_height_of_working_equipment_with_dipperstick_retracted_mm,maximum_bucket_tooth_height_mm,maximum_dump_height_mm,maximum_depth_of_vertical_wall_which_can_be_excavated_mm,maximum_digging_depth_mm,blade_height_mm,"clearance,_upper_structure_to_ground_line_mm",ground_line_to_top_of_engine_cover_mm,length_of_track_on_ground_mm,machine_centre_line_to_blade_mm,minimum_radius_in_travel_position_mm,overall_length_of_track_assembly_mm,overall_length_in_travel_position_mm,track_lug_height_mm,blade_width_mm,blade_width_(extensions_extended)_mm,height_mm,height_(folded)_mm,track_width_mm,"machine_centre_line_to_working_equipment_centre_line,_left_hand_rotation_mm","machine_centre_line_to_working_equipment_centre_line,_right_hand_rotation_mm",minimum_turning_radius_mm,"swing_clearance,_rear_mm",working_width_at_maximum_right_hand_rotation_mm,working_width_at_maximum_left_hand_rotation_mm,make_/_model,fuel,number_of_cylinders,displacement_l,maximum_power_@_2000_rpm_(iso_14396)_kw,maximum_torque_(sae)_nm,pump_type,pump_capacity_l_per_min,auxiliary_flow_l_per_min,auxiliary_relief,"digging_force,_dipperstick_(iso 6015)_n","digging_force,_bucket_(iso 6015)_n",drawbar_pull_n,"travel_speed,_low_range_km_per_h","boom_swing,_left_°","boom_swing,_right_°",slew_rate_rpm,cooling_system_l,engine_lubrication_plus_oil_filter_l,fuel_reservoir_l,hydraulic_reservoir_l,hydraulic_system_l,noise_level_lpa(eu_directive_2006/42/ec)_db(a),noise_level_lwa(eu_directive_2000/14/ec)_db(a),operating_weight_with_40cm_bucket_(iso_6016)_kg,ground_pressure_kpa,hieght_to_seat_mm,voltage,maximum_power_@_3000_rpm_kw,maximum_torque_@_2400_rpm_nm,capacity,"travel_speed,_high_range_km_per_h",whole_body_vibration_(iso_2631–1)_ms2,hand_arm_vibration_(iso_5349–1)_ms2,displacement_cm3,total_hydraulic_capacity_l_per_min,operating_weight_with_canopy_and_bucket_(iso_6016)_kg,additional_weight_for_cab_with_heating_kg,additional_weight_for_long_dozer_blade_kg,maximum_blade_height_with_long_blade_mm,maximum_blade_depth_with_long_blade_mm,maximum_power_@_2200_rpm_(iso_14396)_kw,maximum_torque_@_1600_rpm_(sae_j1995)_nm,pump_capacity_@_2200_rpm_l_per_min,maximum_power_@_2400_rpm_(iso_14396)_kw,maximum_torque_@_1800_rpm_(sae_j1995)_nm,piston_pump_capacity_l_per_min,operating_weight_with_cab_and_bucket_(iso_6016)_kg,weight_reduction_with_canopy_kg,additional_weight_for_long_dipperstick_kg,additional_weight_for_counter_weight_kg,"maximum_reach_of_working_equipment,_long_dipperstick_mm","maximum_reach_at_ground_level,_long_dipperstick_mm","maximum_working_equipment_radius_with_boom_at_maximum_height_and_dipperstick_fully_retracted,_long_dipperstick_mm","maximum_bucket_tooth_height,_long_dipperstick_mm","maximum_dump_height,_long_dipperstick_mm","maximum_depth_of_vertical_wall_which_can_be_excavated,_long_dipperstick_mm","maximum_digging_depth,_long_dipperstick_mm","overall_length_in_travel_position,_long_dipperstick_mm",(*_dentoes_values_which_long_dipperstick_installed),auxiliary_(aux1)_flow_l_per_min,auxiliary_(aux2)_flow_l_per_min,auxiliary_(aux1)_relief_bar,auxiliary_(aux2)_relief_bar,"digging_force,_long_dipperstick_(iso 6015)_n",maximum_power_@_2700_rpm_kw,maximum_torque_@_2700_rpm_nm,additional_weight_for_cab_with_hvac_kg,additional_weight_for_steel_tracks_kg,additional_weight_for_heavy_counterweight:_kg,ground_clearance_mm,overall_length_in_travel_position_with_heavy_counterweight_mm,"swing_clearance,_rear_with_heavy_counterweight_mm",working_width_at_maximum_left_hand_rotation_with_heavy_counterweight_mm,additional_weight_for_heavy_counterweight_kg,"swing_clearance,_rear_(zero_tail_swing),_long_dipperstick_mm",additional_weight_for_long_dipperstick_(with_heavy_ctw.)_kg,"swing_clearance,_rear,_long_dipperstick_(with_heavy_counterweight)_mm",operating_weight_kg,operating_weight_with_canopy_kg,maximum_net_power_(iso_9249)_kw,maximum_net_torque_(iso_9249)_nm,boom_port_relief_base_and_rod_end,additional_weight_for_angle_blade_kg,"swing_clearance,_rear_heavy_counterweight_mm",system_relief_pressure_for_implement_circuits_bar,maximum_height_of_working_equipment_with_dipperstick_extended_mm,wheel_base_mm,overall_lenght_in_transport_position_mm,overall_lenght_in_travel_position_over_blade_mm,"machine_width_(blade),_single_tyres_mm","machine_width,_double_tyres_mm",height_over_cab_mm,"track_width,_single_tyres_mm",track_width_double_tyres_mm,"height_in_travel_position_,_single_tyres_mm","height_in_travel_position,_double_tyres_mm",additional_weight_for_segmented_tracks_kg,"swing_clearance,_rear_with_add_on_counterweight_mm",system_relief_pressure_for_slew_circuit_bar,maximum_digging_depth_blade_down_mm,"maximum_digging_depth_blade_down,_long_dipperstick_mm"
E08 V Bobcat Excavator,R2-Series,0 1t mini excavators,Mini Excavator,1138.00,1039.00,28.80,196.00,3145.00,3093.00,1374.00,196.00,230.00,1899.00,2685.00,1818.00,1383.00,1820.00,220.00,363.00,992.00,968.00,987.00,2153.00,1280.00,2793.00,16.00,710.00,1000.00,2209.00,1490.00,180.00,413.00,471.00,1121.00,550.00,1220.00,1163.00,Kubota / D722-E4B-BCZ-6,Diesel,3,0.72,7.50,40.10,Double gear pump,20.00,20.00,185.0 bar,5550.00,8294.00,9905.00,2.10,67.00,64.00,9.00,3.00,3.50,16.00,2.60,9.40,80.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li-Ion,R2-Series,1 1t mini excavators,Mini Excavator,,1102.00,,196.00,3145.00,3093.00,1374.00,196.00,230.00,1899.00,2685.00,1818.00,1383.00,1820.00,219.50,363.00,991.50,968.00,987.00,2153.00,1280.00,2793.00,16.00,710.00,1100.00,2209.00,,180.00,413.00,471.00,1121.00,550.00,,,Schabmueller / Electric AM (TSA200),,,,,,Triple gear pump,25.00,20.00,,5550.00,8294.00,9905.00,1.80,67.00,64.00,10.20,,,,2.60,9.40,72.00,85.00,1201.00,28.80,1490.00,51.8 VDC,7.50,30.00,11.52 kWh (2x5.76),2.90,0.68,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10z V Excavator,R2-Series,0 1t mini excavators,Mini Excavator,1176.00,1077.00,29.70,196.00,3145.00,3093.00,1374.00,196.00,230.00,1899.00,2685.00,1818.00,1383.00,1820.00,220.00,363.00,992.00,968.00,987.00,2153.00,1280.00,2793.00,16.00,710.00,1100.00,2209.00,1490.00,180.00,413.00,471.00,1121.00,550.00,,,Kubota / D722-E4B (Stage V),Diesel,3,,7.50,40.10,Double gear pump,,20.00,190.0 bar,5550.00,8294.00,9905.00,2.10,67.00,64.00,9.00,,,16.00,2.60,,80.00,93.00,,,,,,,,3.10,,,719.00,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E16E3 V Excavator,R2-Series,1 2t mini excavators,Mini Excavator,,1495.00,27.70,209.00,3948.00,3894.00,1549.00,220.00,206.00,2428.00,3401.00,2390.00,1764.00,2230.00,240.00,442.00,1364.00,1114.00,1046.00,2696.00,1476.00,3704.00,22.00,980.00,1360.00,2321.00,,230.00,433.00,589.00,1156.00,1024.00,1806.00,1652.00,Yanmar / 3TNV70-SBC1 (Stage V),Diesel,3,,,,"Single outlet variable displacement, load sensing torque pump",,30.00,180.0 bar,11920.00,14550.00,18965.00,2.00,80.00,60.00,9.30,,,21.20,14.30,,80.00,93.00,,,,,,,,4.00,0.24,0.52,854.00,,1612.00,99.00,12.00,300.00,254.00,10.10,49.80,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E17E2 V Excavator,R2-Series,1 2t mini excavators,Mini Excavator,,1594.00,29.40,196.00,3919.00,3871.00,1526.00,220.00,204.00,2405.00,3371.00,2370.00,1810.00,2249.00,235.00,419.00,1340.00,1114.00,1045.00,2666.00,1476.00,3665.00,25.00,980.00,1360.00,2299.00,,230.00,433.00,589.00,1128.00,1009.00,1801.00,1645.00,Yanmar / 3TNV74-PBC (Stage V),Diesel,3,,,,Triple gear pump,32.50,32.50,227.0 bar,9108.00,16177.00,14334.00,2.10,80.00,60.00,8.70,,,19.00,13.90,,79.00,93.00,,,,,,,,4.30,0.33,0.51,993.00,,1711.00,96.00,9.00,,,,,,11.00,50.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E17zE2 V Excavator,R2-Series,1 2t mini excavators,Mini Excavator,,1632.00,30.06,196.00,3971.00,3923.00,1560.00,220.00,204.00,2406.00,3378.00,2369.00,1810.00,2249.00,235.00,419.00,1138.00,1114.00,1045.00,2715.00,1476.00,3450.00,25.00,980.00,1360.00,2297.00,,230.00,450.00,638.00,1190.00,690.00,1532.00,1370.00,Yanmar / 3TNV74-PBC (Stage V),Diesel,3,,,,Dual piston pump with gear pump,,30.00,180.0 bar,9108.00,16177.00,19302.00,2.70,80.00,60.00,10.10,,,19.00,13.90,,81.00,93.00,,,,,,,,4.30,0.91,1.78,993.00,41.30,1749.00,,9.00,300.00,254.00,,,,11.00,50.20,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E17zE3 V Excavator,R2-Series,1 2t mini excavators,Mini Excavator,,1595.00,29.40,196.00,3996.00,3944.00,1599.00,220.00,204.00,2428.00,3398.00,2390.00,1764.00,2230.00,246.00,443.00,1149.00,1114.00,1045.00,2745.00,1476.00,3480.00,22.00,980.00,1360.00,2317.00,,230.00,476.00,638.00,1190.00,690.00,1370.00,1370.00,Yanmar / 3TNV70-SBC1 (Stage V),Diesel,3,,,,"Single outlet variable displacement, load sensing torque pump",,30.00,180.0 bar,11920.00,14550.00,18905.00,2.00,80.00,60.00,9.30,,,21.20,14.30,,80.00,93.00,,,,,,,,4.00,0.23,0.49,854.00,,1712.00,,12.00,300.00,254.00,10.10,49.80,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E19E2 V Excavator,R2-Series,1 2t mini excavators,Mini Excavator,,1768.00,32.40,196.00,4084.00,4039.00,1542.00,220.00,204.00,2564.00,3573.00,2566.00,1948.00,2385.00,235.00,419.00,1340.00,1114.00,1045.00,2832.00,1476.00,3831.00,25.00,980.00,1360.00,2299.00,,230.00,433.00,589.00,1154.00,1009.00,1801.00,1645.00,Yanmar / 3TNV74-PBC (Stage V),Diesel,3,,,,Dual piston pump with gear pump,,,,10371.00,20835.00,19380.00,2.70,80.00,60.00,8.40,,,19.00,13.90,,79.00,93.00,,,,,,,,4.30,0.91,1.78,993.00,41.30,,,9.00,,,,,,11.00,50.20,30.00,1885.00,-96.00,6.00,41.00,4257.00,4214.00,1561.00,3701.00,2693.00,2115.00,2565.00,3812.00,Thu May 24 11:10:19 CEST 2018,30.00,15.00,180.00,179.00,9279.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E19E3 V Excavator,R2-Series,1 2t mini excavators,Mini Excavator,,1788.00,29.40,197.00,4111.00,4062.00,1538.00,300.00,254.00,2589.00,3600.00,2588.00,1829.00,2364.00,246.00,445.00,1368.00,1258.00,1252.00,2857.00,1651.00,3875.00,22.00,980.00,1360.00,2321.00,,230.00,433.00,589.00,1163.00,1019.00,1700.00,1702.00,Yanmar / 3TNV70-SBC1 (Stage V),Diesel,3,,,,"Single outlet variable displacement, load sensing torque pump",44.00,,,12630.00,18330.00,23778.00,2.00,80.00,60.00,9.70,,,21.20,14.30,,77.00,93.00,,,,,,,,4.00,0.24,0.52,854.00,,,,,,,10.10,49.80,,,,,1905.00,-99.00,4.00,84.00,4283.00,4237.00,1558.00,3701.00,2716.00,2064.00,2544.00,,Thu May 24 11:10:19 CEST 2018,30.00,12.00,180.00,179.00,11510.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li-Ion,R2-Series,1 2t mini excavators,Mini Excavator,,1794.00,32.90,196.00,4084.00,4039.00,1542.00,220.00,204.00,2564.00,3573.00,2566.00,1948.00,2385.00,235.00,419.00,1340.00,1114.00,1045.00,2832.00,1476.00,3831.00,25.00,980.00,1360.00,2299.00,,230.00,433.00,589.00,1154.00,1009.00,1801.00,1645.00,Schabmueller / Electric AM (TSA200),,,,,,Triple gear pump,,,,10371.00,20835.00,23550.00,1.70,80.00,60.00,7.90,,,,14.30,19.00,75.00,86.00,,,,51.8 VDC,,,"17,28 kWh (3x 5.76)",3.70,0.58,1.81,,35.00,1907.00,,,,,,,,,,,,,6.00,,4257.00,4214.00,1561.00,3701.00,2693.00,2115.00,2565.00,3812.00,Thu May 24 11:10:19 CEST 2018,24.30,15.00,180.00,179.00,9279.00,10.00,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
