id,Equipment Type,Model,Link,GROUND PRESSURE,ARM CROWD FORCE,DUMP HEIGHT,MAXIMUM TRACTION FORCE,BUCKET BREAKOUT FORCE (ISO),NET POWER,FULL TURN TIPPING LOAD,MAX TRAVEL SPEED REVERSE,RATED PAYLOAD,BUCKET BREAKOUT FORCE ISO,HEAPED CAPACITY,ENGINE MODEL,BUCKET BREAKOUT FORCE,Machine Type,BUCKET CAPACITY (HEAPED),TRAVEL SPEED,BUCKET CAPACITY,TAIL SWING RADIUS,MAXIMUM TORQUE,OPERATING CAPACITY,MAX. DIGGING REACH,BOOM BREAKOUT FORCE,"CONFIGURATION: LIFT PATH: (VERTICAL/RADIAL), UNDERCARRAIGE (TIRES, TRACKS)",MAXIMUM GRADE,MAX TRAVEL SPEED FORWARD,SWING SPEED,"CONFIGURATION: COMPACT, CRAWLER, WHEELED, SPECIALITY",DUMP CLEARANCE WITH BUCKET (STANDARD Z-BAR),MAX HINGE PIN HEIGHT,Impact Power Range,TRAVEL SPEED FORWARD,ARM CROWD FORCE (ISO),ARM CROWD FORCE ISO,MAX. DIGGING DEPTH,"CONFIGURATION: ZBAR, TOOL MASTER, EXTENDED BOOM","CONFIGURATIONS: ZBAR, TOOL MASTER, EXTENDED BOOM",BLADE DIGGING DEPTH,MAX TRAVEL SPEED,OPERATING WEIGHT,TRAVEL SPEED REVERSE,Breaker Operating Weight Range,Blow Rate Range
1,Compact Excavators,HX40A,https://na.hd-hyundaice.com/equipment/compact-excavators/hx40a,,,,,"8,053 lb.","37.7 hp @ 2,200 rpm",,,,,,Yanmar 4TNV88C,,,,,0.14 yd³,"4' 3.2""",,,"18' 8""",,,,,9.9 rpm,COMPACT,,,,,"4,206 lb.",,"11' 9.3""",,,,3.0 mph,"9,678 lb.",,,
2,Compact Excavators,HX60A,https://na.hd-hyundaice.com/equipment/compact-excavators/hx60a,,,,,"9,462 lb.","65.9 hp @ 2,400 rpm",,,,,,Hyundai / DM02VB,,,,,0.24 yd³,"5' 5""",,,"20' 2.1""",,,,,9.4 rpm,COMPACT,,,,,"6,363 lb.",,"12' 4.4""",,,,2.6 mph,"13,404 lb.",,,
3,Compact Excavators,HX85A,https://na.hd-hyundaice.com/equipment/compact-excavators/hx85a,,,,,"13,852 lb.","65 hp @ 2,400 rpm",,,,,,Yanmar 4TNV98C-PHYB,,,,,0.33 yd³,"5' 5.9""",,,"24' 4.1""",,,,,9.5 rpm,COMPACT,,,,,"8,338 lb.",,"15' 0.7""",,,,3.2 mph,"19,026 lb.",,,
4,Compact Excavators,HX90A,https://na.hd-hyundaice.com/equipment/compact-excavators/hx90a,,,,,"13,852 lb.","65 hp @ 2,400 rpm",,,,,,Yanmar 4TNV98C-PHYB,,,,,0.33 yd³,"5' 5.9""",,,"24' 4.1""",,,,,9.5 rpm,COMPACT,,,,,"8,338 lb.",,"15' 0.7""",,,,3.2 mph,"20,040 lb.",,,
5,Compact Excavators,HX35AZ,https://na.hd-hyundaice.com/equipment/compact-excavators/hx35az,,,,,"5,919 lb.","24.2 hp @ 2,200 rpm",,,,,,Kubota D1703,,,,,0.14 yd³,"2' 11.4""",,,"18' 10""",,,,,9.4 rpm,COMPACT,,,,,"3,578 lb.",,"11' 3.4""",,,,2.7 mph,"8,664 lb.",,,
6,Compact Excavators,HX48AZ,https://na.hd-hyundaice.com/equipment/compact-excavators/hx48az,,,,,"7,341 lb.","37.7 hp @ 2,200 rpm",,,,,,Yanmar 4TNV88C,,,,,0.2 yd³,"3' 6.5""",,,"20' 0.6""",,,,,10.1 rpm,COMPACT,,,,,"4,998 lb.",,"11' 10.5""",,,,2.7 mph,"11,199 lb.",,,
7,Compact Excavators,R17Z-9A,https://na.hd-hyundaice.com/equipment/compact-excavators/r17z-9a,,,,,"3,483 lb.","16 hp @ 2,300 rpm",,,,,,Kubota D902,,,,,0.05 yd³,"2' 1.4""",,,"13' 2.7""",,,,,9.5 rpm,COMPACT,,,,,"1,720 lb.",,"7' 8.5""",,,,2.6 mph,"3,924 lb.",,,
8,Compact Excavators,R25Z-9AK,https://na.hd-hyundaice.com/equipment/compact-excavators/r25z-9ak,,,,,"4,740 lb.","23.2 hp @ 2,350 rpm",,,,,,Kubota D1305,,,,,0.09 yd³,"2' 6.5""",,,"14' 8.4""",,,,,9.1 rpm,COMPACT,,,,,"3,285 lb.",,"7' 11.3""",,,,2.7 mph,"5,690 Ibs / 5,360 Ibs",,,
9,Compact Excavators,R30Z-9AK,https://na.hd-hyundaice.com/equipment/compact-excavators/r30z-9ak,,,,,"4,519 lb.","23.2 HP @ 2,350 rpm",,,,,,Kubota D1305,,,,,0.1 yd³,"2' 6.5""",,,"15' 3.1""",,,,,9.1 rpm,COMPACT,,,,,"3,086 lb.",,"8' 2.4""",,,,2.7 mph,"6,625 lb.",,,
10,Compact Excavators,R35Z-9A,https://na.hd-hyundaice.com/equipment/compact-excavators/r35z-9a,,,,,"6,900 lb.","23.7 hp @ 2,200 rpm",,,,,,Yanmar 3TNV88F,,,,,0.14 yd³,"2' 10.3""",,,"17' 5.3""",,,,,9.5 rpm,COMPACT,,,,,"4,387 lb.",,"10' 3.4""",,,,2.6 mph,"8,344 lb.",,,
