horsepower,equipment_type,blade_capacity,image_url,operating_weight,model,product_url,lift_capacity
"89 HP @ 2,200 rpm",Dozer,2.50 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_836b75735394470da29ef73d8e86388b?v=07668dea,"19,842 lbs.",D37EX-24,https://www.komatsu.com/en/products/dozers/small-dozers/d37ex-24/,
"89 HP @ 2,200 rpm",Dozer,2.79 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_836b75735394470da29ef73d8e86388b?v=53dd1905,"20,503 lbs.",D37PX-24,https://www.komatsu.com/en/products/dozers/small-dozers/d37px-24/,
"105 HP @ 2,200 rpm",Dozer,2.89 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_3ab479a3ea6147a6a902cabe12458ee5?v=8e6329a0,"22,068 lbs.",D39EXi-24,https://www.komatsu.com/en/products/dozers/small-dozers/d39exi-24/,
"105 HP @ 2,200 rpm",Dozer,2.89 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_3ab479a3ea6147a6a902cabe12458ee5?v=1e260611,"22,774 lbs.",D39PXi-24,https://www.komatsu.com/en/products/dozers/small-dozers/d39pxi-24/,
"105 HP @ 2,200 rpm",Dozer,2.89 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_5f0bbc64815f49b18dc01d2b8521793f?v=04ca1c9c,"21,891 lbs.",D39EX-24,https://www.komatsu.com/en/products/dozers/small-dozers/d39ex-24/,
"105 HP @ 2,200 rpm",Dozer,3.14 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_b2117a7bf2af4bd481be557fc1e60795?v=a43ffe24,"22,817 lbs.",D39PX-24,https://www.komatsu.com/en/products/dozers/small-dozers/d39px-24/,
"131 HP @ 2,200 rpm",Dozer,3.50 yd³,https://komatsu.stylelabs.cloud/api/public/content/2Related_5ee0188e60f347b88b1c67638d4ffc95?v=fc6bad5b,"30,380 lbs.",D51EXi-24,https://www.komatsu.com/en/products/dozers/small-dozers/d51exi-24/,
"131 HP @ 2,200 rpm",Dozer,4.40 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_5ee0188e60f347b88b1c67638d4ffc95?v=f0b1cc80,"31,438 lbs.",D51PXi-24,https://www.komatsu.com/en/products/dozers/small-dozers/d51pxi-24/,
"131 HP @ 2,200 rpm",Dozer,3.5 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_970efd07ba9f44edb19686769b297f0f?v=1410d7f9,"30,821 lbs.",D51EX-24,https://www.komatsu.com/en/products/dozers/small-dozers/d51ex-24/,
"131 HP @ 2,200 rpm",Dozer,4.4 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_66b53b86854a492da1bb916ca0247761?v=c3ffe975,"31,438 lbs.",D51PX-24,https://www.komatsu.com/en/products/dozers/small-dozers/d51px-24/,
"168 HP @ 2,200 rpm",Dozer,4.41 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_e6c0357d2c8b42ac8b2e6c89b694203c?v=a942ece9,"41,094 lbs.",D61EXi-24,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d61exi-24/,
"168 HP @ 2,200 rpm",Dozer,4.98 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_e6c0357d2c8b42ac8b2e6c89b694203c?v=166bf652,"43,167 lbs.",D61PXi-24,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d61pxi-24/,
"168 HP @ 2,200 rpm",Dozer,4.41 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_5dc912a2df8c4759bad837e62eedc3e5?v=104791b8,"40,830 lbs.",D61EX-24,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d61ex-24/,
"168 HP @ 2,200 rpm",Dozer,4.98 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_5dc912a2df8c4759bad837e62eedc3e5?v=74e5f49e,"42,902 lbs.",D61PX-24,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d61px-24/,
"217 HP @ 1,950 rpm",Dozer,7.3 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_01d8f28821904924b6dc858b0c135184?v=cec2ef0a,"45,780 lbs.",D65EXi-18,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d65exi-18/,
"217 HP @ 1,950 rpm",Dozer,4.8 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_feb34f259390425994b4adbfe4d98feb?v=e7efd8d3,"48,620 lbs.",D65PXi-18,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d65pxi-18/,
"217 HP @ 1,950 rpm",Dozer,7.3 yd&sup3;,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_f7ecdf2d97004cd98334f78072c8f947?v=2aade4e9,"45,628 - 48,796 lbs.",D65EX-18,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d65ex-18/,
"217 HP @ 1,950 rpm",Dozer,4.8 yd&sup3;,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_820f9bda73fe441ba40c0feece4af277?v=35ae711c,"48,444 - 51,960 lbs.",D65PX-18,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d65px-18/,
"217 HP @ 1,950 rpm",Dozer,7.7 yd&sup3;,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_75f358b86c924977b7dfc745711757ae?v=4be02ede,"48,760 - 51,529 lbs.",D65WX-18,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d65wx-18/,
"217 HP @ 1,950 rpm",Dozer,14.8 yd<sup>3</sup>,https://komatsu.stylelabs.cloud/api/public/content/Related_242cc0914f8246ceb94057f7427ad4e9?v=39d2f107,"50,259 lbs.",D65EX-18 WH,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d65ex-18-wh/,
"217 HP @ 1,950 rpm",Dozer,12.9 - 15.1 yd<sup>3</sup>,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/RelatedD65PX18WH_4aac55f5694b48de8b1a396c967abc0e?v=681d0330,"53,136 - 56,337 lbs.",D65PX-18 WH,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d65px-18-wh/,
"217 HP @ 1,950 rpm",Dozer,17.2 yd<sup>3</sup>,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_242cc0914f8246ceb94057f7427ad4e9?v=24c1992e,"53,350 lbs.",D65WX-18 WH,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d65wx-18-wh/,
"237 HP @ 2,200 rpm",Dozer,5.8 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_d973a0e4213c4464af429382f69610ce?v=21fe276b,"50,045 lbs.",D71EXi-24,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d71exi-24/,
"237 HP @ 2,200 rpm",Dozer,6.1 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_d973a0e4213c4464af429382f69610ce?v=ce5045b1,"51,147 lbs.",D71PXi-24,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d71pxi-24/,
"237 HP @ 2,200 rpm",Dozer,5.8 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_d973a0e4213c4464af429382f69610ce?v=41b18422,"49,825 lbs.",D71EX-24,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d71ex-24/,
"237 HP @ 2,200 rpm",Dozer,6.1 - 6.6 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_d973a0e4213c4464af429382f69610ce?v=933c24db,"50,927 - 52,690 lbs.",D71PX-24,https://www.komatsu.com/en/products/dozers/mid-size-dozers/d71px-24/,
"264 HP @ 1,900 rpm",Dozer,9.2 yd&sup3;,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_364c2ee9d2eb4bb0bf013a4e094799ae?v=cc4b2320,"68,350 lbs.",D85EXi-18,https://www.komatsu.com/en/products/dozers/large-dozers/d85exi-18/,
"264 HP @ 1,900 rpm",Dozer,7.7 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_364c2ee9d2eb4bb0bf013a4e094799ae?v=b5f85ae0,"65,460 lbs.",D85PXi-18,https://www.komatsu.com/en/products/dozers/large-dozers/d85pxi-18/,
"264 HP @ 1,900 rpm",Dozer,9.2 yd&sup3;,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_8f195767723f47678135118d360a9d98?v=aa09a85f,"67,615 lbs.",D85EX-18,https://www.komatsu.com/en/products/dozers/large-dozers/d85ex-18/,
"264 HP @ 1,900 rpm",Dozer,7.7 yd&sup3;,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_8f195767723f47678135118d360a9d98?v=0c15bbef,"64,600 lbs.",D85PX-18,https://www.komatsu.com/en/products/dozers/large-dozers/d85px-18/,
"264 HP @ 1,900 rpm",Dozer,18.4 yd<sup>3</sup>,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/3ProductDetails_ca3f316923864a7d91cb51619097f622?v=43e21e21,"70,718 lbs.",D85EX-18 WH,https://www.komatsu.com/en/products/dozers/large-dozers/d85ex-18-wh/,
"264 HP @ 1,900 rpm",Dozer,18.4 yd<sup>3</sup>,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/RelatedD85PX18WH_5470079a06884e32bb8963889af02732?v=d9f4a3f2,"69,860 lbs.",D85PX-18 WH,https://www.komatsu.com/en/products/dozers/large-dozers/d85px-18-wh/,
"354 HP @ 1,900 rpm",Dozer,12.3 yd³,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_bd7327d27689431aaed3e11be59e3b22?v=d457a775,"90,610 lbs.",D155AXi-8,https://www.komatsu.com/en/products/dozers/large-dozers/d155axi-8/,
"354 HP @ 1,900 rpm",Dozer,12.3 - 15.6 yd&sup3;,https://komatsu.stylelabs.cloud/api/public/content/Related_b5564357165644dd99de8eeb3623d0ac?v=03bb6613,"89,300 lbs.",D155AX-8,https://www.komatsu.com/en/products/dozers/large-dozers/d155ax-8/,
"354 HP @ 1,900 rpm",Dozer,26.8 - 33.2 yd<sup>3</sup>,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/RelatedD155AX8WH_1f358725258e4dfda7e4344edbf488d7?v=6b89ddab,"94,421 lbs.",D155AX-8 WH,https://www.komatsu.com/en/products/dozers/large-dozers/d155ax-8-wh/,
"354 HP @ 1,900 rpm",Dozer,9.6 - 15.7 yd&sup3;,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_b495ed9737044be4a5bdfed752354473?v=1ff5c441,"92,820 lbs.",D155PX-8 LGP,https://www.komatsu.com/en/products/dozers/large-dozers/d155px-8-lgp/,
"354 HP @ 1,900 rpm",Dozer,,https://komatsu.stylelabs.cloud/api/public/content/2Related_47134d83d54a4f3aa7acce8371024d56?v=b5a6b90c,"120,970 lbs.",D155CX-8 K170,https://www.komatsu.com/en/products/dozers/large-dozers/d155cx-8-k170/,"170,000 lbs."
"<span>609 HP @ 1,800 rpm</span>",Dozer,<span>24.2 - 28.8 yd<sup>3</sup></span>,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_d5cf3e30e03a45d29583a3d9c3f1e411?v=c6111dbc,"<span>163,340 lbs.</span>",D375A-8,https://www.komatsu.com/en/products/dozers/surface-mining-dozers/d375a-8/,
"890 HP @ 2,000 rpm",Dozer,35.6 - 44.5&nbsp;yd<sup>3</sup>,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_d2b8eb119ca94179b7235bee8e4ecd3f?v=18d468c1,"254,195 lbs.",D475A-8,https://www.komatsu.com/en/products/dozers/surface-mining-dozers/d475a-8/,
