horsepower,machine_weight,equipment_type,image_url,bucket_capacity,operating_weight,max_lift_capacity,max_digging_height,model,extended_high_reach,product_url,grapple_capacity,extended_high_reach_weight,maximum_reach
"24.4 HP @ 2,200 rpm",,Excavator,https://komatsu.stylelabs.cloud/api/public/content/2Related_f937840c020b402896bf4624cfeb224e?v=e93b8377,0.07 - 0.21 yd³,"6,812 - 7,143 lbs.",,,PC30MR-5,,https://www.komatsu.com/en/products/excavators/small-excavators/pc30mr-5/,,,
"24.4 HP @ 2,200 rpm",,Excavator,https://komatsu.stylelabs.cloud/api/public/content/related_4d9d15dd34ad43939299ea94eff8bd0c?v=5dc79364,0.07 - 0.24 yd³,"8,201 - 8,532 lbs",,,PC35MR-5,,https://www.komatsu.com/en/products/excavators/small-excavators/pc35mr-5/,,,
"38 HP @ 2,400 rpm",,Excavator,https://komatsu.stylelabs.cloud/api/public/content/2Related_c824e89c7c4a49efadd99addad188b5f?v=90bbc149,0.07 - 0.21 yd³,"10,737 - 11,001 lbs.",,,PC45MR-5,,https://www.komatsu.com/en/products/excavators/small-excavators/pc45mr-5/,,,
"38 HP @ 2,400 rpm",,Excavator,https://komatsu.stylelabs.cloud/api/public/content/Related_ce0ee6f74e024adea4d0ed36f4b96f20?v=93dce6f9,0.07 - 0.24 yd³,"11,354 - 11,618 lbs.",,,PC55MR-5,,https://www.komatsu.com/en/products/excavators/small-excavators/pc55mr-5/,,,
"68 HP @ 1,850 rpm",,Excavator,https://komatsu.stylelabs.cloud/api/public/content/Related_ba2d65830ab8492abda1ab20f121144a?v=5b26d254,0.12 - 0.26 yd<sup>3</sup>,"17,438 - 18,188 lbs.",,,PC78US-11,,https://www.komatsu.com/en/products/excavators/small-excavators/pc78us-11/,,,
"68 HP @ 1,850 rpm",,Excavator,https://komatsu.stylelabs.cloud/api/public/content/Related_11d84e03257245b9bb1dd37773712603?v=f66d4e54,0.12 - 0.26 yd<sup>3</sup>,"18,739 - 19,224 lbs.",,,PC88MR-11,,https://www.komatsu.com/en/products/excavators/small-excavators/pc88mr-11/,,,
"97.2 HP @ 2,050 rpm",,Excavator,https://komatsu.stylelabs.cloud/api/public/content/9cce27614fc844269c376cf157172d83?v=6ccd6d55,0.34 - 0.78 yd&sup3;,"28,440 - 29,101 lbs.",,,PC130LC-11,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc130lc-11/,,,
"97.2 HP @ 2,050 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_9e390c6d5f314013bf749252f6e5b907?v=e9aa3086,0.34 - 1.00 yd³,"34,563 - 37,547 lbs.",,,PC138USLC-11,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc138uslc-11/,,,
"121 HP @ 2,100 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_181d5f78cf9c49b2bdd8d8fd9ff6af44?v=71138f70,0.48 - 1.24 yd³,"38,720 - 43,115 lbs.",,,PC170LC-11,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc170lc-11/,,,
"165 HP @ 2,000 rpm",,Excavator,https://komatsu.stylelabs.cloud/api/public/content/Related_4d2cde8885204545a3b2113d62c22b85?v=8811d31b,0.66 - 1.57 yd³,"51,397 - 53,882 lbs.",,,PC210LCi-11,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc210lci-11/,,,
