horsepower,equipment_type,image_url,bucket_capacity,operating_weight,model,product_url,full_turn_tip_load
"126 HP @ 2,000 rpm",Wheel Loader,https://komatsu.stylelabs.cloud/api/public/content/Related_dede6a82ec054d6a888211895391742b?v=794180c1,2.6 - 3.1 yd&sup3;,"25,827 - 26,489 lbs.",WA200-8,https://www.komatsu.com/en/products/wheel-loaders/mid-size-wheel-loaders/wa200-8/,
"126 HP @ 2,000 rpm",Wheel Loader,https://komatsu.stylelabs.cloud/api/public/content/Related_dede6a82ec054d6a888211895391742b?v=617360f1,,"25,827 - 26,489 lbs.",WA200-8 WH,https://www.komatsu.com/en/products/wheel-loaders/mid-size-wheel-loaders/wa200-8-wh/,"13,558 - 16,854 lbs."
"149 HP @ 2,000 rpm&nbsp;",Wheel Loader,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_85f838642c4a4efa8e528c0149d06c52?v=6ce8cdea,2.5 - 3.5 yd&sup3;,"28,208 - 29,079 lbs.",WA270-8,https://www.komatsu.com/en/products/wheel-loaders/mid-size-wheel-loaders/wa270-8/,
"149 HP @ 2,000 rpm",Wheel Loader,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_85f838642c4a4efa8e528c0149d06c52?v=951649dc,,"28,208 - 29,079 lbs.",WA270-8 WH,https://www.komatsu.com/en/products/wheel-loaders/mid-size-wheel-loaders/wa270-8-wh/,"18,761 - 19,886 lbs."
"165 HP @ 2,000 rpm",Wheel Loader,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_a70f4d751b8b483283ee1a6979e78b22?v=af2f019c,3.0 - 4.2 yd&sup3;,"34,128 - 34,987 lbs.",WA320-8,https://www.komatsu.com/en/products/wheel-loaders/mid-size-wheel-loaders/wa320-8/,
"165 HP @ 2,100 rpm",Wheel Loader,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_a70f4d751b8b483283ee1a6979e78b22?v=90085ef6,,"34,128 - 34,987 lbs.",WA320-8 WH,https://www.komatsu.com/en/products/wheel-loaders/mid-size-wheel-loaders/wa320-8-wh/,"16,998 - 21,561 lbs."
"191 HP @ 2,100 rpm",Wheel Loader,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_7434057baf3c456ea8d89f9ba4f8fa13?v=2bae275e,3.5 - 4.3 yd³,"40,532 - 41,932 lbs.",WA380-8,https://www.komatsu.com/en/products/wheel-loaders/large-wheel-loaders/wa380-8/,
"191 HP @ 2,100 rpm",Wheel Loader,https://mss-p-015-delivery.sitecorecontenthub.cloud/api/public/content/2Related_574d5138873945069585dedd6fd1b8b6?v=270effa1,,"40,532 - 41,932 lbs.",WA380-8 WH,https://www.komatsu.com/en/products/wheel-loaders/large-wheel-loaders/wa380-8-wh/,"22,943 - 29,630 lbs."
"290 HP @ 1,600 rpm",Wheel Loader,https://komatsu.stylelabs.cloud/api/public/content/related2_771daec209ea4190868ee34032965ac1?v=b28384ab,5.5 - 6.0 yd³,"56,240 - 60,400 lbs.",WA475-10,https://www.komatsu.com/en/products/wheel-loaders/large-wheel-loaders/wa475-10/,
"343 HP @ 1,600 rpm",Wheel Loader,https://komatsu.stylelabs.cloud/api/public/content/Related_0f8e49ef6d28461cb6e1ea1e3204eaf8?v=4fec5558,5.5 - 6.8 yd&sup3;,"56,482 - 57,077 lbs.",WA475-11,https://www.komatsu.com/en/products/wheel-loaders/large-wheel-loaders/wa475-11/,
