id,product_model_name,product_display_name,image_url,product_page_url,operating_weight_kg,max_digging_reach_mm,engine_rated_power_kw,max_digging_depth_mm
1,ZX130-5G-LA,"ZX130-5G, LA",https://hitachikenki.scene7.com/is/image/hitachikenki/ZX130-5G_002,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx130-5g-la/,"28,219lbs (12,800kg)",28ft 5in (8.65m),88.5HP (66kW),19ft 9in (6.03m)
2,ZX130-6,ZX130-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX130-Front3qtrs-3768-with-BG_900x580,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx130-6/,"30,203lbs (13,700kg)",28ft 9in (8.77m),100.4HP (74.9kW),19ft 9in (6.03m)
3,ZX130-7H,ZX130-7H,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX130-7H_Machine-PhotoOmiai_0004-1-e1704400389742,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx130-7h/,"30,865lb - 33,951lb (14,000kg - 15,400kg)",28ft 5in (8.65m),100HP (74.9kW),19ft 9in (6.03m)
4,ZX135US-6,ZX135US-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX135US-Front3qtrs-3806-with-BG_900x580,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx135us-6/,"31,306lbs (14,200kg)",29ft 1in (8.86m),100.4HP (74.9kW),19ft 7in (5.98m)
5,ZX135US-7H,ZX135US-7H,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX135US-7H_Machine-PhotoOmiai_0003-e1704400521765,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx135us-7h/,"31,967lb - 35,053lb (14,500kg - 15,900kg)",28ft 7in (8.72m),100HP (74.9kW),19ft 7in (5.98m)
6,ZX160LC-6,ZX160LC-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX160LC-6,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx160lc-6/,"39,242lbs (17,800kg)",30ft 7in (9.33m),110.4HP (82.3kW),21ft 3in (6.49m)
7,ZX160LC-7H,ZX160LC-7H,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX160LC-7H_Omiai03-1,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx160lc-7h/,"39,683lb (18,000kg)",30ft 1in (9.16m),132HP (98.6kW),21ft 4in (6.49m)
8,ZX190LC-7H,ZX190LC-7H,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX190LC-7H_Omiai01-e1704400996656,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx190lc-7h/,"43,652lbs (19,800kg)",32ft 1in (9.79m),132HP (98.6kW),23ft 2in (7.07m)
9,ZX200LC-5G-LA,"ZX200LC-5G, LA",https://hitachikenki.scene7.com/is/image/hitachikenki/ZX200-5G_003,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx200lc-5g-la/,"44,974lbs (20,400kg)",32ft (9.75m),168HP (125kW),21ft 11in (6.67m)
10,ZX210LC-6,ZX210LC-6,https://hitachikenki.scene7.com/is/image/hitachikenki/LFR53934,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx210lc-6/,"50,265lbs (22,800kg)",32ft 7in (9.92m),163.6HP (122kW),21ft 11in (6.67m)
11,ZX210LC-7H,ZX210LC-7H,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX210LC-7H_Machine-PhotoOmiai_0005-e1704401099175,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx210lc-7h/,"50,927 lb (23,100 kg)",32ft (9.75m),164HP (122kW),21ft 11in (6.67m)
12,ZX240LC-5G-LA,"ZX240LC-5G, LA",https://hitachikenki.scene7.com/is/image/hitachikenki/ZX240-5G_006_900x580,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx240lc-5g-la/,"52,911lbs (24,000kg)",33ft 2in (10.11m),177HP (132kW),23ft (6.96m)
13,ZX245USLC-6,ZX245USLC-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX245USLC-6_Carousel1_900x580,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx245uslc-6/,"55,997lbs (25,400kg)",33ft 2in (10.11m),159HP (122kW),21ft 8in (6.62m)
14,ZX245USLC-7H,ZX245USLC-7H,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX245USLC-7H_Machine-PhotoOmiai_0010-e1704401393757,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx245uslc-7h/,"58,202 Ib (25,900 kg)",32ft 6in (9.9m),164HP (122kW),21ft 8in (6.61m)
15,ZX250LC-6,ZX250LC-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX250LC-6-2_Highres_Larger-e1645721531127,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx250lc-6/,"59,525lbs (27,000kg)",35ft 9in (10.91m),177HP (132kW),25ft (7.61m)
16,ZX250LC-7H,ZX250LC-7H,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX250LC-7H_Omiai_01,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx250lc-7h/,"58,433lbs - 60,417lbs (26,500kg - 27,400kg)",35ft 3in (10.75m),177HP (132kW),25ft (7.61m)
17,ZX280LC-5G-LA,"ZX280LC-5G, LA",https://hitachikenki.scene7.com/is/image/hitachikenki/ZX280-5G_900x580,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx280lc-5g-la/,"62,611lbs (28,400kg)",35ft 2in (10.52m),177HP (132kW),23ft 8in (7.22m)
18,ZX300LC-6,ZX300LC-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX300-6_P9_front,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx300lc-6/,"67,902lbs (30,800kg)",37ft (11.27m),249.4HP (186kW),25ft 9in (7.87m)
19,ZX300LC-7H,ZX300LC-7H,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX300LC-7H_001_190617,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx300lc-7h/,"69,005lb (31,300kg)",36ft 5in (11.1m),249HP (186kW),25ft 10in (7.87m)
20,ZX345USLC-6,ZX345USLC-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX345USLC-Front3qtrs-4568_treees_900x580jpg,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx345uslc-6/,"79,146lbs (35,900kg)",37ft 7in (11.46m),249.4HP (186kW),24ft 9in (7.57m)
21,ZX345USLC-7H,ZX345USLC-7H,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX345USLC-7H_Machine-PhotoOmiai_0008-e1704401489677,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx345uslc-7h/,"79,366lb (36,000kg)",36ft 10in (11.22m),249HP (186kW),24ft 10in (7.57m)
22,ZX350LC-6,ZX350LC-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZX350LC-Front3qtrs-4612-with-trees_900x580,https://www.hitachicm.com/us/en/products/excavators/medium-large/product.zx350lc-6/,"80,028lbs (36,330kg)",38ft 10in (11.86m),270.9HP (202kW),26ft 9in (8.18m)
