id,product_model_name,product_display_name,image_url,product_page_url,operating_weight_kg,breakout_force_kn,max_digging_reach_mm,max_digging_depth_mm,engine_rated_power_kw
1,EX1200-7B-T4F,"EX1200-7B, T4F",https://hitachikenki.scene7.com/is/image/hitachikenki/EX1200-7_Carousel3_900x580,https://www.hitachicm.com/us/en/products/excavators/mining/product.ex1200-7b-t4f/,"<div>Backhoe:257,951lbs (117,000kg)<br>Shovel:264,600lbs (120,000kg)</div>",,<div>Backhoe:50ft 4in (15.35m)<br>Shovel:37ft 9in (11.5m)</div>,<div>Backhoe:30ft 9in (9.38m)<br>Shovel:15ft 8in (4.78m)</div>,760HP (567kW)
2,EX1200-7-FCO,"EX1200-7, FCO",https://hitachikenki.scene7.com/is/image/hitachikenki/EX1200-7_Carousel3_900x580-1,https://www.hitachicm.com/us/en/products/excavators/mining/product.ex1200-7-fco/,"<div>Backhoe:253,532lbs (115,000kg)<br>Shovel:260,146lbs (118,000kg)</div>",,<div>Backhoe:50ft 4in (15.35m)<br>Shovel:37ft 9in (11.5m)</div>,<div>Backhoe:30ft 9in (9.38m)<br>Shovel:15ft 8in (4.78m)</div>,760HP (567kW)
3,EX2000-7B-T4F,"EX2000-7B, T4F",https://hitachikenki.scene7.com/is/image/hitachikenki/EX2000-7_Carousel6_900x580,https://www.hitachicm.com/us/en/products/excavators/mining/product.ex2000-7b-t4f/,"<div>Backhoe:429,901lbs (195,000kg)<br>Shovel:427,697lbs (194,000kg)</div>",,<div>Backhoe:50ft 4in (15.34m)<br>Shovel:44ft 3in (13.49m)</div>,<div>Backhoe:26ft 7in (8.09m)<br>Shovel:14ft 4in (4.38m)</div>,"1,000HP (746kW)"
4,EX2000-7-FCO,"EX2000-7, FCO",https://hitachikenki.scene7.com/is/image/hitachikenki/EX2000-7_Carousel6_900x580-2,https://www.hitachicm.com/us/en/products/excavators/mining/product.ex2000-7-fco/,,"<div>Backhoe:425,492lbf (193,000kN)<br>Shovel:423,288lbf (192,000kN)</div>",<div>Backhoe:50ft 4in (15.34m)<br>Shovel:44ft 3in (13.49m)</div>,<div>Backhoe:26ft 7in (8.09m)<br>Shovel:14ft 4in (4.38m)</div>,1000HP (764kW)
5,EX2000-7E-ELEC,"EX2000-7E, ELEC.",https://hitachikenki.scene7.com/is/image/hitachikenki/EX2000-7_Carousel6_900x580-1,https://www.hitachicm.com/us/en/products/excavators/mining/product.ex2000-7e-elec/,,,<div>Backhoe:50ft 4in (15.34m)<br>Shovel:44ft 3in (13.49m)</div>,<div>Backhoe:26ft 7in (8.09m)<br>Shovel:14ft 4in (4.38m)</div>,818HP (610kW)
6,EX2600-7B-T4F,"EX2600-7B, T4F",https://hitachikenki.scene7.com/is/image/hitachikenki/EX2600-7_Carousel5_900x580,https://www.hitachicm.com/us/en/products/excavators/mining/product.ex2600-7b-t4f/,"<div>Backhoe:566,588lbs (257,000kg)<br>Shovel:570,997lbs (259,000kg)</div>",,<div>Backhoe:54ft 6in (16.6m)<br>Shovel:46ft 2in (14.06m)</div>,<div>Backhoe:27ft 1in (8.25m)<br>Shovel:12ft 2in (3.72m)</div>,"1,500HP (1,119kW)"
7,EX2600-7-FCO,"EX2600-7, FCO",https://hitachikenki.scene7.com/is/image/hitachikenki/EX2600-7_Carousel5_900x580-2,https://www.hitachicm.com/us/en/products/excavators/mining/product.ex2600-7-fco/,"<div>Backhoe:564,383lbs (256,000kg)<br>Shovel:568,793lbs (258,000kg)</div>",,<div>Backhoe:54ft 6in (16.6m)<br>Shovel:46ft 2in (14.06m)</div>,<div>Backhoe:27ft 1in (8.25m)<br>Shovel:12ft 2in (3.72m)</div>,"1,500HP (1,119kW)"
8,EX2600-7E-ELEC,"EX2600-7E, ELEC.",https://hitachikenki.scene7.com/is/image/hitachikenki/EX2600-7_Carousel5_900x580-1,https://www.hitachicm.com/us/en/products/excavators/mining/product.ex2600-7e-elec/,,,<div>Backhoe:54ft 6in (16.6m)<br>Shovel:46ft 2in (14.6m)</div>,<div>Backhoe:27ft 1in (8.25m)<br>Shovel:12ft 2in (3.72m)</div>,"1,153HP (860kW)"
9,EX3600-7B-T4F,"EX3600-7B, T4F",https://hitachikenki.scene7.com/is/image/hitachikenki/EX3600-7_Carousel1_900x580,https://www.hitachicm.com/us/en/products/excavators/mining/product.ex3600-7b-t4f/,"<div>Backhoe:815,710lbs (370,000kg)<br>Shovel:813,506lbs (369,000kg)</div>",,<div>Backhoe:59ft 10in (18.24m)<br>Shovel:51ft 5in (15.66m)</div>,<div>Backhoe:28ft 4in (8.63m)<br>Shovel:14ft 4in (4.35m)</div>,"1,944HP (1,450kW)"
10,EX3600-7-FCO,"EX3600-7, FCO",https://hitachikenki.scene7.com/is/image/hitachikenki/EX3600-7_Carousel1_900x580-3,https://www.hitachicm.com/us/en/products/excavators/mining/product.ex3600-7-fco/,"<div>Backhoe:806,892lbs (366,000kg)<br>Shovel:804,678lbs (365,000kg)</div>",,<div>Backhoe:59ft 10in (18.24m)<br>Shovel:51ft 5in (15.66m)</div>,<div>Backhoe:28ft 3in (8.63m)<br>Shovel:14ft 4in (4.35m)</div>,"1,944HP (1,450kW)"
11,EX3600-7E-ELEC,"EX3600-7E, ELEC.",https://hitachikenki.scene7.com/is/image/hitachikenki/EX3600-7_Carousel1_900x580-1,https://www.hitachicm.com/us/en/products/excavators/mining/product.ex3600-7e-elec/,,,<div>Backhoe:59ft 10in (18.24m)<br>Shovel:51ft 5in (15.66m)</div>,<div>Backhoe:28ft 4in (8.63m)<br>Shovel:14ft 4in (4.35m)</div>,"1,609HP (1,200kW)"
12,EX5600-7B-T4F,"EX5600-7B, T4F",https://hitachikenki.scene7.com/is/image/hitachikenki/EX5600-7-4-1,https://www.hitachicm.com/us/en/products/excavators/mining/product.ex5600-7b-t4f/,"<div>Backhoe:1,210,338lbs (549,000kg)<br>Shovel:1,199,315lbs (544,000kg)</div>",,<div>Backhoe:66ft 3in (20.2m)<br>Shovel:55ft 9in (17m)</div>,<div>Backhoe:28ft 11in (8.8m)<br>Shovel:15ft 9in (4.8m)</div>,2 x 1500hp (2 x 1119kw)
