name,seq
zoomlion_earthmoving_equipment_specs,36
zoomlion_mobilecrane_equipment_specs,123
hyundai_equipment_specs,79
zoomlion_foundation_equipment_specs,24
zoomlion_towercrane_equipment_specs,136
zoomlion_concrete_equipment_specs,220
medium_large_wheel_loaders,19
compact_wheel_loaders,5
medium_large_excavators,33
compact_excavators,10
mining_excavators,17
super_long_front_excavators,3
rigid_dump_trucks,6
cat_equipment,12
cat_articulated_trucks_specs,84
cat_asphalt_pavers_specs,102
cat_backhoe_loaders_specs,50
cat_cold_planers_specs,40
cat_compactors_specs,240
cat_dozer_specs,90
cat_excavators_specs,260
cat_material_handlers_specs,40
cat_motor_graders_specs,55
cat_off_highway_trucks_specs,95
cat_pipelayers_specs,10
cat_road_reclaimers_specs,25
cat_telehandlers_specs,35
cat_track_loaders_specs,15
cat_underground_hard_rock_specs,50
cat_wheel_tractor_scrapers_specs,65
cat_wheel_loaders_specs,200
cat_draglines_specs,15
cat_forest_machines_specs,25
cat_hydraulic_mining_shovels_specs,30
cat_drills_specs,15
cat_electric_rope_shovels_specs,35
cat_skid_steer_loaders_and_compact_track_loaders_specs,23
cat_skid_steer_and_compact_track_loaders_specs,69
xcmg_road_machinery_data_specs,732
xcmg_excavators_data_specs,141
xcmg_loaders_data_specs,216
xcmg_hoisting_machinery_data_specs,195
xcmg_piling_machinery_data_specs,228
xcmg_non_excavation_machinery_data_specs,66
xcmg_concrete_machinery_data_specs,72
xcmg_special_vehicles_data_specs,195
doosan_compact_loader_specs,23
