equipment_name,model,operating_weight,gross_power,_at_engine_speed,bucket_capacity,lifting_capacity_along_undercarriage,_at_reach_height,max_digging_reach,max_digging_depth,breakout_force_sae_j1179_normal_,tear_out_force_sae_j1179_normal_,overall_width,tail_swing_radius,brochure_link,breakout_force_sae_j1179_boost_,tear_out_force_sae_j1179_boost_,max_lifting_capacity,breakout_force_iso_normal_,breakout_force_iso_boost_,max_speed,engine,travel_speed_low_high,slewing_speed,breakout_force,tear_out_force_arm_breakout_force_,overall_length,main_hydraulic_pump_max_flow,net_power,operating_weight_canopy_version,boom_swing_angle_left_right,static_tipping_load_at_full_turn,max_power_at,_ece_r120_net,_iso_9249_sae_j1349_net,max_torque_at,tires,max_torque_at_1,log_grapples,_iso_14396_gross,_sae_j1995_gross,payload_capacity,body_volume_sae_2_1_heap,net_weight,gross_weight,max_engine_gross_power,max_sae_j1349_gross_torque,engine_gross_power,max_tipping_capacity,rated_capacity,std_boom_length,extended_boom_length,max_working_slope
Large Crawler Excavators,EC750D,"72,700 - 74,700 kg",385 kW,"1,800 rpm",3.3 - 5.16 m³,"26,110 kg",6 / 1.5 m,"11,460 mm","7,210 mm",325 kN,314 kN,"4,290 mm","4,140 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Crawler Excavators,EC950E,"89,960 - 91,840 kg",450 kW,"1,800 rpm",3.9 - 6 m³,"37,460 kg",6 / 1.5 m,"12,270 mm","7,120 mm",424 kN,408 kN,"4,515 mm","4,700 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Crawler Excavators,EC550E,"53,740 - 58,000 kg",320 kW,"1,600 rpm",2.4 - 4.2 m³,"20,780 kg",6 / 1.5 m,"12,180 mm","7,690 mm",251 kN,220 kN,"3,900 mm","3,880 mm",,269 kN,235 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Crawler Excavators,EC480D,"47,300 - 53,100 kg",265 kW,"1,700 rpm",1.77 - 3.8 m³,"15,670 kg",6 / 1.5 m,"13,260 mm","9,170 mm",230 kN,160 kN,"3,440 mm","3,800 mm",,251 kN,174 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Crawler Excavators,EC380D,"37,800 - 41,100 kg",215 kW,"1,700 rpm",1.35 - 3 m³,"14,540 kg",6 / 1.5 m,"11,720 mm","8,150 mm",198 kN,141 kN,"3,340 mm","3,800 mm",,215 kN,154 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Crawler Excavators,EC360,"36,000 - 37,500 kg",210 kW,"1,600 rpm",1.92 - 2.33 m³,"23,050 kg",10 / -10 m,"10,852 mm","7,167 mm",201 kN,160 kN,"3,190 mm","3,585 mm",,219 kN,174 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Crawler Excavators,EC350D,"34,300 - 38,700 kg",210 kW,"1,800 rpm",1 - 2.53 m³,"12,480 kg",6 / 1.5 m,"11,110 mm","7,480 mm",177 kN,156 kN,"3,190 mm","3,560 mm",,193 kN,170 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Crawler Excavators,EC300D,"27,700 - 33,100 kg",170 kW,"1,800 rpm",0.52 - 2.02 m³,"11,020 kg",6 / 1.5 m,"10,720 mm","7,350 mm",168 kN,132 kN,"3,190 mm","3,120 mm",,182 kN,143 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Crawler Excavators,EC250D,"24,600 - 28,000 kg",138 kW,"1,800 rpm",0.48 - 1.85 m³,"8,260 kg",6 / 1.5 m,"10,260 mm","6,980 mm",152 kN,115 kN,"2,990 mm","3,070 mm",,166 kN,125 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Crawler Excavators,EC230,"22,500 - 24,000 kg",123 kW,"1,800 rpm",1.44 m³,"10,140 kg",4.0 / 1.5 m,"9,930 mm","6,730 mm",145 kN,105 kN,"2,990 mm","2,850 mm",,153 kN,111 kN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
