id,equipment_name,model,spec_name,spec_value
1,Wheel loader LW800KN,LW800KN,Bucket Load(m³),4.5
2,Wheel loader LW800KN,LW800KN,Rated Load(kg),8000
3,Wheel loader LW800KN,LW800KN,Rated Power(kw),261
4,Wheel loader LW1400KN,LW1400KN,Bucket Load(m³),7
5,Wheel loader LW1400KN,LW1400KN,Rated Load(kg),14000
6,Wheel loader LW1400KN,LW1400KN,Rated Power(kw),418
7,Wheel loader LW1200KN,LW1200KN,Bucket Load(m³),6.5
8,Wheel loader LW1200KN,LW1200KN,Rated Load(kg),12000
9,Wheel loader LW1200KN,LW1200KN,Rated Power(kw),418
10,Wheel loader LW900KN,LW900KN,Bucket Load(m³),5.5
11,Wheel loader LW900KN,LW900KN,Rated Load(kg),9000
12,Wheel loader LW900KN,LW900KN,Rated Power(kw),261
13,Wheel loader LW700KN,LW700KN,Bucket Load(m³),4.2
14,Wheel loader LW700KN,LW700KN,Rated Load(kg),7000
15,Wheel loader LW700KN,LW700KN,Rated Power(kw),226
16,Wheel loader LW700HV,LW700HV,Bucket Load(m³),4.2
17,Wheel loader LW700HV,LW700HV,Rated Load(kg),7000
18,Wheel loader LW700HV,LW700HV,Rated Power(kw),210
19,Wheel loader LW1200KN,LW1200KN,Bucket Load(m³),6.5
20,Wheel loader LW1200KN,LW1200KN,Rated Load(kg),12000
21,Wheel loader LW1200KN,LW1200KN,Rated Power(kw),418
22,Wheel loader LW1400KN,LW1400KN,Bucket Load(m³),7
23,Wheel loader LW1400KN,LW1400KN,Rated Load(kg),14000
24,Wheel loader LW1400KN,LW1400KN,Rated Power(kw),418
25,Wheel loader XC998,XC998,Bucket Load(m³),5.4
26,Wheel loader XC998,XC998,Rated Load(kg),9000
27,Wheel loader XC998,XC998,Rated Power(kw),261
28,Wheel loader XC978,XC978,Bucket Load(m³),4.2
29,Wheel loader XC978,XC978,Rated Load(kg),7000
30,Wheel loader XC978,XC978,Rated Power(kw),226
31,Wheel loader XC968,XC968,Bucket Load(m³),3.5
32,Wheel loader XC968,XC968,Rated Load(kg),6000
33,Wheel loader XC968,XC968,Rated Power(kw),179
34,Wheel loader LW156FV,LW156FV,Bucket Load(m³),0.7
35,Wheel loader LW156FV,LW156FV,Rated Load(kg),1100
36,Wheel loader LW156FV,LW156FV,Rated Power(kw),55
37,Wheel loader XC948,XC948,Bucket Load(m³),2.4
38,Wheel loader XC948,XC948,Rated Load(kg),4000
39,Wheel loader XC948,XC948,Rated Power(kw),149
40,Wheel loader XC958,XC958,Bucket Load(m³),3
41,Wheel loader XC958,XC958,Rated Load(kg),5000
42,Wheel loader XC958,XC958,Rated Power(kw),168
43,Wheel loader XC968,XC968,Bucket Load(m³),3.5
44,Wheel loader XC968,XC968,Rated Load(kg),6000
45,Wheel loader XC968,XC968,Rated Power(kw),179
46,Wheel loader XC978,XC978,Bucket Load(m³),4.2
47,Wheel loader XC978,XC978,Rated Load(kg),7000
48,Wheel loader XC978,XC978,Rated Power(kw),226
49,Wheel loader XC998,XC998,Bucket Load(m³),5.4
50,Wheel loader XC998,XC998,Rated Load(kg),9000
51,Wheel loader XC998,XC998,Rated Power(kw),261
52,Wheel loader LW156FV,LW156FV,Bucket Load(m³),0.7
53,Wheel loader LW156FV,LW156FV,Rated Load(kg),1100
