id,equipment_name,model,spec_name,spec_value
1,XZ Series Horizontal Directional Drilling Rig XZ2860,XZ2860,Model,"Cummins 
QSL8.9-C360"
2,XZ Series Horizontal Directional Drilling Rig XZ2860,XZ2860,Power rating(kW/r/min),2×264/2100
3,XZ Series Horizontal Directional Drilling Rig XZ2860,XZ2860,Max pull/thrust force(kN),2860
4,XZ Series Horizontal Directional Drilling Rig XZ5000,XZ5000,Model,"Cummins 
QSZ13-C550"
5,XZ Series Horizontal Directional Drilling Rig XZ5000,XZ5000,Power rating(kW/r/min),2×410/1900
6,XZ Series Horizontal Directional Drilling Rig XZ5000,XZ5000,Max pull/thrust force(kN),5000
7,XZ Series Horizontal Directional Drilling Rig XZ3600,XZ3600,Model,"Cummins 
QSL8.9-C360"
8,XZ Series Horizontal Directional Drilling Rig XZ3600,XZ3600,Power rating(kW/r/min),2×264/2100
9,XZ Series Horizontal Directional Drilling Rig XZ3600,XZ3600,Max pull/thrust force(kN),3600
10,XZ Series Horizontal Directional Drilling Rig XZ6600,XZ6600,Model,"Cummins 
QSZ13-C550"
11,XZ Series Horizontal Directional Drilling Rig XZ6600,XZ6600,Power rating(kW/r/min),2×410/1900
12,XZ Series Horizontal Directional Drilling Rig XZ6600,XZ6600,Max pull/thrust force(kN),6600
13,XZ Series Horizontal Directional Drilling Rig XZ2200,XZ2200,Model,"Cummins 
QSL8.9-C325"
14,XZ Series Horizontal Directional Drilling Rig XZ2200,XZ2200,Power rating(kW/r/min),2×242/2100
15,XZ Series Horizontal Directional Drilling Rig XZ2200,XZ2200,Max pull/thrust force(kN),2200
16,XZ Series Horizontal Directional Drilling Rig XZ1600,XZ1600,Model,"Cummins 
QSL8.9-C325"
17,XZ Series Horizontal Directional Drilling Rig XZ1600,XZ1600,Power rating(kW/r/min),2×242/2100
18,XZ Series Horizontal Directional Drilling Rig XZ1600,XZ1600,Max pull/thrust force(kN),1650
19,XZ Series Horizontal Directional Drilling Rig XZ12000,XZ12000,Model,"Cummins 
QSZ13-C550"
20,XZ Series Horizontal Directional Drilling Rig XZ12000,XZ12000,Power rating(kW/r/min),4×410/1900
21,XZ Series Horizontal Directional Drilling Rig XZ12000,XZ12000,Max pull/thrust force(kN),12000
22,XZ Series Horizontal Directional Drilling Rig XZ450/XZ450Plus,XZ450/XZ450Plus,Model,"Cummins 
QSC8.3-C260"
23,XZ Series Horizontal Directional Drilling Rig XZ450/XZ450Plus,XZ450/XZ450Plus,Power rating(kW/r/min),194/2200
24,XZ Series Horizontal Directional Drilling Rig XZ450/XZ450Plus,XZ450/XZ450Plus,Max pull/thrust force(kN),480
25,XZ Series Horizontal Directional Drilling Rig XZ13600,XZ13600,Model,"Cummins 
QSZ13-C550"
