id,equipment_name,model,spec_name,spec_value
1,XR Series Rotary Drilling Rig XR800E,XR800E,Model,QSK23
2,XR Series Rotary Drilling Rig XR800E,XR800E,Rated Power(kW),641
3,XR Series Rotary Drilling Rig XR800E,XR800E,Max.output torque(kN﹒m),793
4,XR Series Rotary Drilling Rig XR180D CFA,XR180D CFA,Model,QSB6.7
5,XR Series Rotary Drilling Rig XR180D CFA,XR180D CFA,Rated Power(kW),194
6,XR Series Rotary Drilling Rig XR180D CFA,XR180D CFA,Max.output torque(kN﹒m),180
7,XR Series Rotary Drilling Rig XR150D CFA,XR150D CFA,Model,QSB7-C202
8,XR Series Rotary Drilling Rig XR150D CFA,XR150D CFA,Rated Power(kW),150
9,XR Series Rotary Drilling Rig XR150D CFA,XR150D CFA,Max.output torque(kN﹒m),150
10,XR Series Rotary Drilling Rig XR130E CFA,XR130E CFA,Model,QSB7-C227
11,XR Series Rotary Drilling Rig XR130E CFA,XR130E CFA,Rated Power(kW),169
12,XR Series Rotary Drilling Rig XR130E CFA,XR130E CFA,Max.output torque(kN﹒m),130
13,XR Series Rotary Drilling Rig XR180DⅡ CFA,XR180DⅡ CFA,Model,QSB6.7
14,XR Series Rotary Drilling Rig XR180DⅡ CFA,XR180DⅡ CFA,Rated Power(kW),194
15,XR Series Rotary Drilling Rig XR180DⅡ CFA,XR180DⅡ CFA,Max.output torque(kN﹒m),180
16,XR Series Rotary Drilling Rig XRS1050,XRS1050,Model,QSM11-C400
17,XR Series Rotary Drilling Rig XRS1050,XRS1050,Rated Power(kW),298
18,XR Series Rotary Drilling Rig XRS1050,XRS1050,Max.output torque(kN﹒m),390
19,XR Series Rotary Drilling Rig XR180D CFA,XR180D CFA,Model,QSB6.7
20,XR Series Rotary Drilling Rig XR180D CFA,XR180D CFA,Rated Power(kW),194
21,XR Series Rotary Drilling Rig XR180D CFA,XR180D CFA,Max.output torque(kN﹒m),180
22,XR Series Rotary Drilling Rig XR150L,XR150L,Model,QSB6.7-C260
23,XR Series Rotary Drilling Rig XR150L,XR150L,Rated Power(kW),194
24,XR Series Rotary Drilling Rig XR150L,XR150L,Max.output torque(kN﹒m),150
25,XR Series Rotary Drilling Rig XR200L,XR200L,Model,QSB6.7-C260
26,XR Series Rotary Drilling Rig XR200L,XR200L,Rated Power(kW),194
