id,equipment_name,model,spec_name,spec_value
1,Soil Stabilizer XL2503,XL2503,Manufacturer,Weichai
2,Soil Stabilizer XL2503,XL2503,Engine Model,WP12.430N
3,Soil Stabilizer XL2503,XL2503,Rated power/speed (kW/rpm),316
4,Soil Stabilizer XL2103,XL2103,Manufacturer,Weichai
5,Soil Stabilizer XL2103,XL2103,Engine Model,WP12.400N
6,Soil Stabilizer XL2103,XL2103,Rated power/speed (kW/rpm),294
7,Cold Recycler XLZ2303S,XLZ2303S,Manufacturer,Weichai
8,Cold Recycler XLZ2303S,XLZ2303S,Engine Model,WP13G530E310
9,Cold Recycler XLZ2303S,XLZ2303S,Rated power/speed (kW/rpm),390
10,Cold Recycler XLZ2303K,XLZ2303K,Manufacturer,Weichai
11,Cold Recycler XLZ2303K,XLZ2303K,Engine Model,WP17G700E302
12,Cold Recycler XLZ2303K,XLZ2303K,Rated power/speed (kW/rpm),515/2100
13,Stabilized soil mixing plant XC300,XC300,Rated productivity (t/h),300
14,Stabilized soil mixing plant XC300,XC300,Aggregate(%),±1.5
15,Stabilized soil mixing plant XC300,XC300,Powder(%),±1
16,Stabilized soil mixing plant XC400,XC400,Rated productivity (t/h),400
17,Stabilized soil mixing plant XC400,XC400,Aggregate(%),±1.5
18,Stabilized soil mixing plant XC400,XC400,Powder(%),±1
19,Stabilized soil mixing plant XC500,XC500,Rated productivity (t/h),500
20,Stabilized soil mixing plant XC500,XC500,Aggregate(%),±1.5
21,Stabilized soil mixing plant XC500,XC500,Powder(%),±1
22,Stabilized soil mixing plant XC600,XC600,Rated productivity (t/h),600
23,Stabilized soil mixing plant XC600,XC600,Aggregate(%),±1.5
24,Stabilized soil mixing plant XC600,XC600,Powder(%),±1
25,Stabilized soil mixing plant XC700,XC700,Rated productivity (t/h),700
26,Stabilized soil mixing plant XC700,XC700,Aggregate(%),±1.5
27,Stabilized soil mixing plant XC700,XC700,Powder(%),±1
28,Stabilized soil mixing plant XC800,XC800,Rated productivity (t/h),800
29,Stabilized soil mixing plant XC800,XC800,Aggregate(%),±1.5
30,Stabilized soil mixing plant XC800,XC800,Powder(%),±1
31,Stabilized soil mixing plant XC1000S,XC1000S,Rated productivity (t/h),1000
32,Stabilized soil mixing plant XC1000S,XC1000S,Aggregate(%),±1.5
33,Stabilized soil mixing plant XC1000S,XC1000S,Powder(%),±0.8
34,Stabilized soil mixing plant XCL300R,XCL300R,Rated productivity (t/h),300
35,Stabilized soil mixing plant XCL300R,XCL300R,Aggregate(%),±1.5
36,Stabilized soil mixing plant XCL300R,XCL300R,Powder(%),±1
37,Asphalt synchronous chip sealer XTF1403R,XTF1403R,Maximum seal width (m),4
38,Asphalt synchronous chip sealer XTF1403R,XTF1403R,Asphalt spraying amount (Kg/m²),0.2-3.0
39,Asphalt synchronous chip sealer XTF1403R,XTF1403R,Gravel quantity (L/m²),3-22
40,Asphalt synchronous chip sealer XTF1203,XTF1203,Maximum seal width (m),4
41,Asphalt synchronous chip sealer XTF1203,XTF1203,Asphalt spraying amount (Kg/m²),0.2-3.0 kg/m2
42,Asphalt synchronous chip sealer XTF1203,XTF1203,Gravel quantity (L/m²),3-22 L/ m2
43,Asphalt synchronous chip sealer XTF1403,XTF1403,Maximum seal width (m),4
44,Asphalt synchronous chip sealer XTF1403,XTF1403,Asphalt spraying amount (Kg/m²),0.2-3.0
45,Asphalt synchronous chip sealer XTF1403,XTF1403,Gravel quantity (L/m²),3-22
46,Asphalt synchronous chip sealer XTF1003,XTF1003,Maximum seal width (m),4
47,Asphalt synchronous chip sealer XTF1003,XTF1003,Asphalt spraying amount (Kg/m²),0.2-3.0
48,Asphalt synchronous chip sealer XTF1003,XTF1003,Gravel quantity (L/m²),3-22
49,XAP Series Asphalt Mixing Equipment XAP245H,XAP245H,Rated productivity (t/h),240
50,XAP Series Asphalt Mixing Equipment XAP245H,XAP245H,Mixing capacity (kg/patch),3500
51,XAP Series Asphalt Mixing Equipment XAP245H,XAP245H,Asphalt (%),0.2
52,XAP Series Asphalt Mixing Equipment XAP165H,XAP165H,Rated productivity (t/h),160
53,XAP Series Asphalt Mixing Equipment XAP165H,XAP165H,Mixing capacity (kg/patch),2250
54,XAP Series Asphalt Mixing Equipment XAP165H,XAP165H,Asphalt (%),0.2
55,XAP Series Asphalt Mixing Equipment XAP325H,XAP325H,Rated productivity (t/h),320
56,XAP Series Asphalt Mixing Equipment XAP325H,XAP325H,Mixing capacity (kg/patch),4500
57,XAP Series Asphalt Mixing Equipment XAP325H,XAP325H,Asphalt (%),0.2
58,XAP Series Asphalt Mixing Equipment XAP405H,XAP405H,Rated productivity (t/h),400
59,XAP Series Asphalt Mixing Equipment XAP405H,XAP405H,Mixing capacity (kg/patch),5500
60,XAP Series Asphalt Mixing Equipment XAP405H,XAP405H,Asphalt (%),0.2
61,XAP Series Asphalt Mixing Equipment XAP245H,XAP245H,Rated productivity (t/h),240
62,XAP Series Asphalt Mixing Equipment XAP245H,XAP245H,Mixing capacity (kg/patch),3500
63,XAP Series Asphalt Mixing Equipment XAP245H,XAP245H,Asphalt (%),0.2
64,XAP Series Asphalt Mixing Equipment XAP165H,XAP165H,Rated productivity (t/h),160
65,XAP Series Asphalt Mixing Equipment XAP165H,XAP165H,Mixing capacity (kg/patch),2250
66,XAP Series Asphalt Mixing Equipment XAP165H,XAP165H,Asphalt (%),0.2
67,XAP Series Asphalt Mixing Equipment XAP83,XAP83,Rated productivity (t/h),80
68,XAP Series Asphalt Mixing Equipment XAP83,XAP83,Mixing capacity (kg/patch),1250
69,XAP Series Asphalt Mixing Equipment XAP83,XAP83,Asphalt (%),±0.2 %
70,XAP Series Asphalt Mixing Equipment XAP123,XAP123,Rated productivity (t/h),120
71,XAP Series Asphalt Mixing Equipment XAP123,XAP123,Mixing capacity (kg/patch),1750
72,XAP Series Asphalt Mixing Equipment XAP123,XAP123,Asphalt (%),0.2
73,XAP Series Asphalt Mixing Equipment XAP165,XAP165,Rated productivity (t/h),160
74,XAP Series Asphalt Mixing Equipment XAP165,XAP165,Mixing capacity (kg/patch),2250
75,XAP Series Asphalt Mixing Equipment XAP165,XAP165,Asphalt (%),0.2
76,XAP Series Asphalt Mixing Equipment XAP245,XAP245,Rated productivity (t/h),240
77,XAP Series Asphalt Mixing Equipment XAP245,XAP245,Mixing capacity (kg/patch),3500
78,XAP Series Asphalt Mixing Equipment XAP245,XAP245,Asphalt (%),0.2
79,XAP Series Asphalt Mixing Equipment XAP325,XAP325,Rated productivity (t/h),320
80,XAP Series Asphalt Mixing Equipment XAP325,XAP325,Mixing capacity (kg/patch),4500
81,XAP Series Asphalt Mixing Equipment XAP325,XAP325,Asphalt (%),0.2
82,XAP Series Asphalt Mixing Equipment XAP405,XAP405,Rated productivity (t/h),400
83,XAP Series Asphalt Mixing Equipment XAP405,XAP405,Mixing capacity (kg/patch),5500
84,XAP Series Asphalt Mixing Equipment XAP405,XAP405,Asphalt (%),0.2
85,Pavers RP453L,RP453L,Engine manufacturer,Shangchai
86,Pavers RP453L,RP453L,Engine Model,SC4H
87,Pavers RP453L,RP453L,Rated Power(kW/rpm),73.5/2000
88,Pavers RP603,RP603,Engine manufacturer,Cummins
89,Pavers RP603,RP603,Engine Model,QSB6.7-C170
90,Pavers RP603,RP603,Rated Power(kW/rpm),129/2200
91,Pavers RP603L,RP603L,Engine manufacturer,SDEC
92,Pavers RP603L,RP603L,Engine Model,SC4H140G3
93,Pavers RP603L,RP603L,Rated Power(kW/rpm),103/2200
94,Pavers RP903,RP903,Engine manufacturer,SDEC
95,Pavers RP903,RP903,Engine Model,SC9DK220
96,Pavers RP903,RP903,Rated Power(kW/rpm),162/2000
97,Pavers RP953,RP953,Engine manufacturer,SDEC
98,Pavers RP953,RP953,Engine Model,SC9DK220
99,Pavers RP953,RP953,Rated Power(kW/rpm),162/2000
100,Pavers RP1253T,RP1253T,Engine manufacturer,SDEC
101,Pavers RP1253T,RP1253T,Engine Model,SC9DF330
102,Pavers RP1253T,RP1253T,Rated Power(kW/rpm),243/2000
103,Asphalt distributor XLS1203,XLS1203,Max. spraying width (m),6 m
104,Asphalt distributor XLS1203,XLS1203,Asphalt spraying amount (kg/m²),0.2 -3.0
