id,equipment_name,model,spec_name,spec_value
1,Extensible boom aerial device GKS18,GKS18,Model,XGS5041JGKJ6
2,Extensible boom aerial device GKS18,GKS18,L*W*H (mm),5995 × 2070 x 2950
3,Extensible boom aerial device GKS18,GKS18,Model of chassis,JX1041TCD26
4,Extensible boom aerial device GKS17,GKS17,Model,XGS5041JGKJ6
5,Extensible boom aerial device GKS17,GKS17,L*W*H (mm),5995 × 2070 ×2950
6,Extensible boom aerial device GKS17,GKS17,Model of chassis,JX1041TCD26
7,Articulating boom aerial device GKZ12,GKZ12,Model,XGS5042JGKJ6
8,Articulating boom aerial device GKZ12,GKZ12,L*W*H (mm),5995 x 2000 x 2980
9,Articulating boom aerial device GKZ12,GKZ12,Model of chassis,JX1041TSC26
10,Articulating boom aerial device GKZ9,GKZ9,Model,XGS5030JGKJ6
11,Articulating boom aerial device GKZ9,GKZ9,L*W*H (mm),4945×1700 ×2670
12,Articulating boom aerial device GKZ9,GKZ9,Model of chassis,JX1041TSA6
13,Mixed boom aerial device GKH9,GKH9,Model,XGS5031JGKJ6
14,Mixed boom aerial device GKH9,GKH9,L*W*H (mm),5140× 1700×2670
15,Mixed boom aerial device GKH9,GKH9,Model of chassis,JX1041TSA6
16,Mixed boom aerial device GKH23,GKH23,Model,XGS5045JGKJ6
17,Mixed boom aerial device GKH23,GKH23,L*W*H (mm),5995×2090× 2850
18,Mixed boom aerial device GKH23,GKH23,Model of chassis,JX1041TCD26
19,Off-highway Dump Truck NXG5760DT,NXG5760DT,Drive Type,6×4
20,Off-highway Dump Truck NXG5760DT,NXG5760DT,Kerb Mass(kg),26500
21,Off-highway Dump Truck NXG5760DT,NXG5760DT,GVW(kg),76000
22,Off-highway Dump Truck NXG5900D3T (WP12G460E310),NXG5900D3T (WP12G460E310),Drive Type,6×4
23,Off-highway Dump Truck NXG5900D3T (WP12G460E310),NXG5900D3T (WP12G460E310),Kerb Mass(kg),33000
24,Off-highway Dump Truck NXG5900D3T (WP12G460E310),NXG5900D3T (WP12G460E310),GVW(kg),90000
25,Off-highway Dump Truck XGA5902D3T (WP12G430E310),XGA5902D3T (WP12G430E310),Drive Type,6×4
26,Off-highway Dump Truck XGA5902D3T (WP12G430E310),XGA5902D3T (WP12G430E310),Kerb Mass(kg),32000
27,Off-highway Dump Truck XGA5902D3T (WP12G430E310),XGA5902D3T (WP12G430E310),GVW(kg),90000
28,Off-highway Dump Truck XGA5904D3T,XGA5904D3T,Drive Type,6×4
29,Off-highway Dump Truck XGA5904D3T,XGA5904D3T,Kerb Mass(kg),34680
30,Off-highway Dump Truck XGA5904D3T,XGA5904D3T,GVW(kg),91000
31,Off-highway Dump Truck NXG5900D3T (WP12G430E310),NXG5900D3T (WP12G430E310),Drive Type,6×4
32,Off-highway Dump Truck NXG5900D3T (WP12G430E310),NXG5900D3T (WP12G430E310),Kerb Mass(kg),32000
33,Off-highway Dump Truck NXG5900D3T (WP12G430E310),NXG5900D3T (WP12G430E310),GVW(kg),90000
34,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,LHD)","XGA5902D3T (WP12G460E310,LHD)",Drive Type,6×4
35,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,LHD)","XGA5902D3T (WP12G460E310,LHD)",Kerb Mass(kg),32000
