id,Equipment Type,Model,Theoretical Rated Output,Discharge Height,The Capacity of Aggregate Storage Hopper,Maximum Theorical Output,Maximum Theorical Pressure on Concrete,Rated Power,Power,Maxiumm Vertical Reach,Agitator Capacity,Max. Rotation Speed,Power Rating
1,Batching Plants,HZS180R(Bucket),150m3/h,4m,4×20m3,,,,,,,,
2,Batching Plants,HZS180R(Belt),180m3/h,4m,4×20m3,,,,,,,,
3,Batching Plants,HZS120R(Bucket),100m3/h,4m,4×16m3,,,,,,,,
4,Batching Plants,HZS120R(Belt),120,4,4×16,,,,,,,,
5,Batching Plants,HZS90R(Bucket),75m3/h,4m,3×13m3,,,,,,,,
6,Batching Plants,HZS90R(Belt),90m3/h,4m,3×13m3,,,,,,,,
7,Batching Plants,HZS60P(Belt),50m3/h,4.2m,3×10m3,,,,,,,,
8,Placing Booms,Four-Section,,,,,,,,,,,
9,Placing Booms,Three-Section,,,,,,,,,,,
10,City Pumps,10528R,,,,,28/17Mpa,186/2100kW/(r/min),,,,105/70m3/h,
11,City Pumps,10026R,,,,,26.5/13.5Mpa,247/2200kW/(r/min),,,,100/52m3/h,
12,City Pumps,9024R,,,,,24/13Mpa,199/2300kW/(r/min),,,,90/45m3/h,
13,City Pumps,10022R,,,,,22/12Mpa,186/2100kW/(r/min),,,,100/50m3/h,
14,City Pumps,10020R,,,,,20/11Mpa,199/2300kW/(r/min),,,,100/55m3/h,
15,Trailer Pumps,HBT50.10.60RS,,,,,50/100bar,,60kW,,,49/26m3/h,
16,Trailer Pumps,HBT60.13.90SU,,,,,70/130bar,,90kW,,,67/41m3/h,
17,Trailer Pumps,HBT60.13.118RSD,,,,,70/130,,118,,,67/41,
18,Trailer Pumps,HBT60.13.118RS,,,,,70/130,,118,,,67/41,
19,Trailer Pumps,HBT60.16.110SU,,,,,90/160bar,,110kW,,,72/44m3/h,
20,Trailer Pumps,HBT80.16.199RSU,,,,,90/160bar,,199kW,,,81/49m3/h,
21,Trailer Pumps,HBT80.16.174RSU,,,,,90/160bar,,174kW,,,81/49m3/h,
22,Trailer Pumps,HBT100.18.199RSU,,,,,100/180,,186/199,,,93/54,
