id,Equipment Type,Model,Max. Drlling Diameter,Max. Drlling Depth,Max. Output Torque,Rotary Speed Range,Max. Working Radius,Max. Wall Depth,Max. Wall Thickness,Max. Hoisting Force,Max. Milling Torque,Max. Slag Discharge Flow,Weight of Milling Device,Max. Cutting Width,Max. Pile Pressing Force,Min. Pile Pressing Speed,Max. Pile Pressing Speed,Max. Jacking Force,Max. Backhauling Force,Max. Torque,Max. Rotation Speed of Rotary Drive,Oscillating Diameter,Upward Pressure,Downward Pressure,Oscillating Torque,Oscillating Diamete,Lifting Force,Pushing Stroke,Drilling Diameter,Rotation Torque,Slewing Speed
1,Rotary Drilling Rig,ZR140,1300mm,44/35,140kN·m,6-33rpm,,,,,,,,,,,,,,,,,,,,,,,,,
2,Rotary Drilling Rig,ZR160L,,,160kN·m,5-35rpm,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rotary Drilling Rig,ZR185,1500mm,56/44,185kN·m,5-33rpm,,,,,,,,,,,,,,,,,,,,,,,,,
4,Rotary Drilling Rig,ZR225,,,225kN ·m,6~30rpm,,,,,,,,,,,,,,,,,,,,,,,,,
5,Rotary Drilling Rig,ZR255,2000mm,70/56m,260kN·m,6-26rpm,,,,,,,,,,,,,,,,,,,,,,,,,
6,Rotary Drilling Rig,ZR300L,2500mm,88/58m,320kN·m,6-33rpm,,,,,,,,,,,,,,,,,,,,,,,,,
7,Rotary Drilling Rig,ZR360L,2500mm,100/65m,360kN·m,6-28rpm,,,,,,,,,,,,,,,,,,,,,,,,,
8,Rotary Drilling Rig,ZR300D,2500mm,88/58m,300kN·m,5-28rpm,,,,,,,,,,,,,,,,,,,,,,,,,
9,Rotary Drilling Rig,ZR140U,,,140kN·m,6~33rpm,,,,,,,,,,,,,,,,,,,,,,,,,
10,Rotary Drilling Rig,ZR185U,,,185kN ·m,5~33 rpm,,,,,,,,,,,,,,,,,,,,,,,,,
11,Rotary Drilling Rig,ZR255U,,,260kN ·m,6~26rpm,,,,,,,,,,,,,,,,,,,,,,,,,
12,Rotary Drilling Rig,ZR300U,,,290kN ·m,8~28rpm,,,,,,,,,,,,,,,,,,,,,,,,,
13,Rotary Drilling Rig,ZR420U,,,430kN ·m,4~28rpm,,,,,,,,,,,,,,,,,,,,,,,,,
14,Hydraulic Diaphragm Wall Grab,ZDG750U,,,,,5610mm,75/85m,1.5m,750kN,,,,,,,,,,,,,,,,,,,,,
15,Hydraulic Diaphragm Wall Grab,ZDG650,,,,,5600mm,80m,1.5m,660kN,,,,,,,,,,,,,,,,,,,,,
16,Trench Cutter,ZC40,,,,,,,,,2x100kN·m,,30-40t,1.8m,,,,,,,,,,,,,,,,,
17,Hydraulic Plie Pressing Machine,ZY880,,,,,,,,,,,,,880t,1.9m/min,9.2m/min,,,,,,,,,,,,,,
18,Horizontal Directional Drilling Rig,ZHD200,,,,,,,,,,,,,,,,200kN,200kN,5900N.m,180rpm,,,,,,,,,,
19,Horizontal Directional Drilling Rig,ZHD330,,,,,,,,,,,,,,,,330/660kN,330/660kN,13000N.m,120rpm,,,,,,,,,,
20,Horizontal Directional Drilling Rig,ZHD520P,,,,,,,,,,,,,,,,520/1000kN,520/1000kN,27000N.m,140rpm,,,,,,,,,,
21,Oscillator,ZM150S,,,,,,,,,,,,,,,,,,,,,2120kN,1600kN,1900kN·m,800~1500mm,,,,,
22,Oscillator,ZM200H,,,,,,,,,,,,,,,,,,,,2000mm,,,4320kN·m,,3140kN,550mm,,,
23,Oscillator,ZM300G,,,,,,,,,,,,,,,,,,,,3000mm,,,13500kN·m,,7250kN,650mm,,,
24,Full Rotary Casing Dirll,ZRT160H,,,,,,,,,,,,,,,,,,,,,,,,,,,φ800~φ1600mm,1530/910/515kN·m,1.3/2.2/3.9rpm
