id,Equipment Type,Model,Max. Weighted Lift Capacity,Max. Main Boom Load Moment,Max. Liftig Height of Lib,Max. Basic Boom Load Moment,Max. Lifting Capacity,Max. Lifting Moment,Jib Length
1,Loader Crane,ZLK5200V8 Knuckle Crane,,,,,,,
2,Loader Crane,ZLK4200V6 Knuckle Crane,,,,,,,
3,Loader Crane,ZLK6200V6 Knuckle Crane,,,,,,,
4,Loader Crane,ZLK6200V8 Knuckle Crane,,,,,,,
5,Loader Crane,ZLK7600V8 Knuckle Crane,,,,,,,
6,Loader Crane,ZLK8200V8 Knuckle Crane,,,,,,,
7,Loader Crane,ZTK45000V Knuckle Crane,,,,,,,
8,Loader Crane,ZTK120000V Knuckle All-Terrain Crane,,,,,,,
9,Crawler Crane,ZCC2200V,,,,,,,
10,Loader Crane,12 tons Zoomlion Loader Crane,,,,,,,
11,Rough-Terrain-Crane,ZRT1100D533,110000×2.5kg.m,3381kN.m,66.8m,,,,
12,Rough-Terrain-Crane,ZRT850D542,85000×3kg.m,2700kN.m,65.7m,,,,
13,Rough-Terrain-Crane,ZRT600E532,60000×3.0kg.m,2116.8kN.m,61.2mm,,,,
14,Rough-Terrain-Crane,ZRT400V432,40000×2.5kg.m,1305kN.m,47.8m,,,,
15,Telescopic Crawler Crane,ZCT900,,,,,,,
16,Telescopic Crawler Crane,ZCT1500V633,,,,,,,
17,Telescopic Crawler Crane,ZCT900V532.1,,,,,90t,315t×m,8.5～14.2m
18,Telescopic Crawler Crane,ZCT600V532,,,,,60t,1230KN.m,8m
19,Telescopic Crawler Crane,ZCT300V532,,,,,30t,1127KN.m,8m
20,Telescopic Crawler Crane,ZCT300V432,,,,,,,
21,Telescopic Crawler Crane,ZCT1500V633,,,,,,,
22,Crawler Crane,ZCC16000,,,,,,,
23,Crawler Crane,ZCC11800,,,,,,,
24,Crawler Crane,ZCC1000V,,,,,,,
25,Crawler Crane,ZCC32000NP,,,,,,,
26,Crawler Crane,ZCC13000,,,,,,,
27,Crawler Crane,ZCC850v.2,,,,,,,
28,Crawler Crane,ZCC32000,,,,,,,
29,Crawler Crane,ZCC18000,,,,,,,
30,Crawler Crane,ZCC12500,,,,,,,
31,Crawler Crane,ZCC9800W,,,,,,,
32,Crawler Crane,ZCC7200,,,,,,,
33,Crawler Crane,ZCC5800,,,,,,,
34,Crawler Crane,ZCC3500V,,,,,,,
35,Crawler Crane,ZCC3200V,,,,,,,
36,Crawler Crane,ZCC2600-2,,,,,,,
37,Crawler Crane,ZCC2000-1,,,,,,,
38,Crawler Crane,ZCC1600HD,,,,,,,
39,Crawler Crane,ZCC1500V,,,,,,,
40,Crawler Crane,ZCC1000V,,,,,,,
41,Crawler Crane,ZCC850V,,,,,,,
42,Crawler Crane,ZCC750V,,,,,,,
43,Crawler Crane,ZCC600,,,,,,,
44,All Terrain Crane,ZAT18000h,,,155m,3600t.m,,,
45,All Terrain Crane,ZAT2000v863,,,112m,680t.m,,,
46,All Terrain Crane,ZAT6000H753,,,,,,,
47,All Terrain Crane,ZAT2200V8,,,,,,,
48,All Terrain Crane,ZAT8000H,,,128.8m,2160t.m,,,
49,All Terrain Crane,ZAT6000H753,,,140m,1600t.m,,,
50,All Terrain Crane,ZAT5000H763,,,,,,,
51,All Terrain Crane,ZAT2600V863,,,116m,756t.m,,,
52,All Terrain Crane,ZAT2600V763,,,95.4/(105.6)m,7526kN.m,,,
53,All Terrain Crane,ZTC1300A8,,,116.5m,483t.m,,,
54,All Terrain Crane,ZAT1300A863,,,113m,504t.m,,,
55,All Terrain Crane,ZAT5000H763,,,138m,1600t.m,,,
56,All Terrain Crane,ZAT3000V863,,,,,,,
57,All Terrain Crane,ZAT3000A863,,,120m,820t.m,,,
58,All Terrain Crane,ZAT3000A763,,,,,,,
59,All Terrain Crane,ZAT1300H863.1,,,,,,,
60,All Terrain Crane,ZAT1100H763,,,104m,4939kN.m,,,
61,All Terrain Crane,ZAT1100H663,,,99m,504t.m,,,
62,All Terrain Crane,ZAT4000A863,,,108/(128)m,1080t.m,,,
63,All Terrain Crane,ZAT3000V863,,,,,,,
64,All Terrain Crane,ZAT4000V653,,,,1300t.m,,,
65,All Terrain Crane,ZAT18000H753,,,155m,3600t.m,,,
