id,Equipment Type,Model,Working Radius,Max. Hoisting Capacity,Max. Free Standing Height,Max. Jib Length,Max. Tip Load,Tip Load,Maximum FSH [L69],Maximum FSH [RB],Maximum Working Radius,Maximum FSH [L68],Maximum FSH [RA],Max. free standing height_2,Max. boom length,Max. hoisting capacity at jib end,Capacity,Speed,Cage Size
1,Luffing-jib Tower Crane,LW2800-200,9.5-68.6m,200t,198m,,,,,,,,,,,,,,
2,Luffing-jib Tower Crane,LW2340-180,9.5-68.6m,180t,180m,,,,,,,,,,,,,,
3,Luffing-jib Tower Crane,LH3350-120,,120t,91.55m,70m,33t,,,,,,,,,,,,
4,Luffing-jib Tower Crane,LH650-50,,50t,63.05m,60m,9.57t,,,,,,,,,,,,
5,Luffing-jib Tower Crane,L1600-64,,64t,78.25m,65m,14.5t,,,,,,,,,,,,
6,Flat-top Tower Crane,R22000-730,,730t,143m,70m,,283.7t,,,,,,,,,,,
7,Flat-top Tower Crane,R12000-450,,450t,92.5m,75m,,110t,,,,,,,,,,,
8,Flat-top Tower Crane,R8000-320,,320t,115.3m,70m,,110t,,,,,,,,,,,
9,Flat-top Tower Crane,R7150-260,,260t,92.5m,70m,,91t,,,,,,,,,,,
10,Flat-top Tower Crane,R6600-240,,240t,92.5m,70m,,91t,,,,,,,,,,,
11,Flat-top Tower Crane,R4300-200,,200t,102m,80m,,44.5t,,,,,,,,,,,
12,Flat-top Tower Crane,R3200-160,,160t,93.4m,85m,,31.5t,,,,,,,,,,,
13,Flat-top Tower Crane,R2800-160,,160t,70.7m,85m,,27.5t,,,,,,,,,,,
14,Flat-top Tower Crane,R2300-80/100/120,,80/100/120t,94m,80m,,24t,,,,,,,,,,,
15,Flat-top Tower Crane,R1660-80,,80t,74.3m,80m,,19.5t,,,,,,,,,,,
16,Flat-top Tower Crane,R1300-64,,64t,86m,80m,,15.6t,,,,,,,,,,,
17,Flat-top Tower Crane,R1000-50,,50t,89m,80m,,11.2t,,,,,,,,,,,
18,Flat-top Tower Crane,R800-32/40,,32/40t,82m,80m,,7.2t,,,,,,,,,,,
19,Flat-top Tower Crane,R600-25/32,,25/32t,82m,85m,,2.6t,,,,,,,,,,,
20,Flat-top Tower Crane,R500-25,,25t,82m,80m,,3.5t,,,,,,,,,,,
21,Topless Hydraulic Luffing Jib Crane,RL250-12/16,60m,,,,,,52.65m,62.85m,,,,,,,12/16t,,
22,Topless Hydraulic Luffing Jib Crane,RL205-10/12,55m,,,,,,,62.85m,,49.65m,,,,,10/12t,,
